,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001E9AFF50F70>,0.966295817908369,41.07471899888065,0.01574827387355536,18.498621374640834,30.639822415176,0.9663161619726203,0.8837282926820592,-54.3150791835013,0.02939720807553493,-26.73399342045469,-37.7485474371937,0.8911216438100379,0,0,4,0,0,0,0,0,3,0,0,0,3
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9567060248983803,46.55286740200638,0.012501814757355218,24.06756591796875,33.96966545952691,0.9570926055962062,0.857235616354578,-54.51046467678286,0.019423805639735323,-29.76472961425781,-38.60783748081752,0.8801109377711596,3,3,2,4,3,3,3,1,0,1,1,2,8
"ExtraTreesRegressor(max_depth=25, n_estimators=41, n_jobs=-2)",0.9586540146992639,45.49350288861415,0.012176579401199332,19.041463414634222,31.975013550135493,0.9587688080709752,0.8620686289474835,-61.19463573464323,0.026103323567190327,-31.41743902439024,-42.22258768873404,0.8812447477020935,2,2,1,1,1,2,2,3,1,2,3,1,12
"GradientBoostingRegressor(learning_rate=0.03, n_estimators=350, subsample=0.6)",0.9606799796169111,44.364906638782585,0.011366301238995753,21.68681302611961,32.729581644187014,0.9607419675315537,0.8703895207605885,-60.32809428304935,0.027729688477805204,-32.22053972092286,-41.94375575617443,0.8669566149104078,1,1,0,2,2,1,1,2,2,3,2,3,13
"RandomForestRegressor(max_depth=18, n_estimators=500)",0.9449678961288552,52.485672096720265,0.015329848730553697,22.374000000000024,36.86838666666664,0.9456247714657449,0.8313653909144539,-63.65689109151627,0.03008610798776876,-32.56446000000005,-45.00544161904762,0.8538499923568093,4,4,3,3,4,4,4,4,4,4,4,5,25
"AdaBoostRegressor(loss='exponential', n_estimators=80)",0.9383766117803491,55.539950895339565,0.025111111251482486,41.38620689655173,46.281307222254895,0.9393029343983617,0.7586385073648838,-70.2565598810093,0.03914037018358363,-45.097259248656314,-53.380474095635385,0.8561956704843345,5,5,5,9,7,5,8,6,5,9,7,4,39
"LGBMRegressor(learning_rate=0.01, max_depth=7, n_estimators=650, num_leaves=5)",0.9086122825147132,67.63579824894875,0.03164544040787958,42.15562461434439,51.54433016689329,0.9086580410612471,0.769878973076031,-70.28759611650398,0.0406165298474365,-40.281742716691404,-51.244499668995594,0.8361854496896534,9,9,7,10,9,9,7,7,6,6,6,8,40
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 9), max_iter=60,
             solver='lbfgs')",0.9295030329489204,59.404305281708666,0.034633738023721494,28.562018647615446,45.660240890513876,0.9326574660923209,0.7275006695294456,-68.29965566702552,0.06833666586945734,-38.366636396955954,-48.89153702132525,0.8218877275998715,7,7,8,5,6,6,9,5,9,5,5,9,42
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.9307330604523719,58.883783127459054,0.03609517998032669,38.6703333333333,45.12422925896522,0.930920962850795,0.8180930958955811,-72.00935050442692,0.05701316107185185,-44.01332719780221,-55.00041659489513,0.8481659172385463,6,6,9,7,5,7,5,8,7,8,8,6,42
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.917145620677683,64.40067790454292,0.07582501782434431,40.7615057069919,50.09877684027804,0.9173909442048908,0.799472020909813,-76.36315244479064,0.1243858807053734,-50.94466653901786,-57.68728904553295,0.8410246676450923,8,8,10,8,8,8,6,9,13,11,9,7,55
"DecisionTreeRegressor(max_depth=5, min_samples_leaf=4)",0.8918174970149667,73.58871467531186,0.030404602884312515,31.0,52.0088253968254,0.8942787515766243,0.6009809665817233,-98.42787125693847,0.06697962402358106,-41.58102519556466,-65.21647760995208,0.6591286186065773,10,10,6,6,10,10,13,13,8,7,10,13,64
"Lasso(alpha=0.8, max_iter=3000)",0.8593680661287981,83.90245706630701,0.09465943305086938,50.9475261083237,64.53152306304416,0.8607760633444703,0.7226317015183827,-84.9183404331559,0.07362908949990625,-54.25159022879639,-65.62179900598696,0.7392517925266386,11,11,11,12,11,11,10,10,10,13,11,10,64
"Ridge(alpha=0.1, solver='sag')",0.8557413760782104,84.97743096190555,0.11760677604565119,54.68547788421404,65.20821862779232,0.8576185007492064,0.7141355626955757,-85.73004611943185,0.08882610887391042,-51.32952936246379,-66.04405217516677,0.7291815034324689,12,12,12,13,12,12,11,11,11,12,13,11,69
LinearRegression(),0.8389036083532858,89.79984999905938,0.18926369224929981,47.547133077008766,66.60960433060562,0.8407716464776307,0.7082844746568702,-86.31108834353302,0.1003779889521748,-50.917087762514385,-65.99853273067598,0.7227776743401533,13,13,13,11,13,13,12,12,12,10,12,12,70
