,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9386044973489323,51.12768588843407,0.021273689768058653,23.142333984375,36.375387509474116,0.940191957571619,0.6484422240703779,-58.76574778047697,0.02184595671479195,-31.28013092041016,-43.28756049965116,0.8109926471049913,0,0,0,2,0,0,3,0,0,0,0,3,6
<catboost.core.CatBoostRegressor object at 0x0000020652A74220>,0.9273855794770762,55.603137069319715,0.026848007039564418,22.577276603684027,39.903934810039125,0.9284706863372862,0.6215266480748237,-59.63483866634576,0.02491316654895434,-35.155787231233276,-44.28497219848096,0.7817344432433276,1,1,2,0,2,1,4,1,1,3,1,5,15
"ExtraTreesRegressor(max_depth=20, n_estimators=41, n_jobs=-3)",0.9233795726728458,57.11630994079214,0.02316521075366649,24.869512195121956,40.05795049144522,0.9255702736636489,0.6031666347750673,-64.55146119506779,0.025605293123923834,-33.910292682926794,-46.18648860181882,0.8285585808880953,2,2,1,3,3,2,6,3,2,2,3,0,16
"GradientBoostingRegressor(learning_rate=0.09, max_depth=9, n_estimators=200,
                          subsample=0.6)",0.9204610475599712,58.193943779866096,0.027019735012317435,22.59701198192988,38.62784781578488,0.9226551283255762,0.6163729156665685,-64.0516724832688,0.028809923985213325,-33.45145269325643,-45.30470707935628,0.771329165341353,3,3,4,1,1,3,5,2,3,1,2,7,20
"RandomForestRegressor(max_depth=10, n_estimators=200)",0.91863502873763,58.85814823346062,0.026888383811383518,31.275305555555633,42.57255495867741,0.9201531882898373,0.5470708464528566,-67.42688095393247,0.034246540362499356,-39.19863683634621,-50.72395838878123,0.8026491834833873,4,4,3,4,4,4,9,4,4,5,4,4,30
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=200, num_leaves=8)",0.9119562155525832,61.22618616181576,0.03428530422240381,32.667669404521405,46.321786634249634,0.9133985542547354,0.41650705506759306,-69.93217073649386,0.03720945259915543,-41.61121457877014,-52.81253011247732,0.7573566288722718,5,5,6,5,5,5,11,5,5,7,5,8,41
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.8594632005309599,77.35401959801273,0.05485101962083537,39.86653132875364,55.14877228814468,0.8598090677043214,0.7062151210120733,-75.44773598447809,0.08215922452690093,-52.209151146719876,-60.0320065600575,0.8193644494915915,9,9,9,8,9,9,2,7,12,9,9,2,41
"MLPRegressor(hidden_layer_sizes=(40, 7), max_iter=60, solver='lbfgs')",0.8163283408855723,88.43189492939827,0.07443996346149347,54.2515217107869,68.43391613987451,0.8170061612218786,0.602433765998201,-77.12917362408335,0.0780229873987409,-39.54274601702539,-58.33044604561443,0.8207673308748561,10,10,10,10,10,10,7,8,11,6,8,1,41
"AdaBoostRegressor(loss='square', n_estimators=140)",0.8731567479539326,73.48886513480724,0.041805442964328775,36.0,52.80002281401838,0.8732023211992771,0.36073978125035266,-74.92833396404617,0.041237041256091705,-48.605954638385164,-57.981810754277646,0.779735741059206,8,8,7,7,7,8,12,6,7,8,7,6,46
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.8755648747685495,72.78792707973972,0.03311293000103616,34.25,49.6063432835821,0.8764120909124783,0.5542774007597404,-84.15035118084731,0.04108412038873095,-38.07683333333334,-55.6996157773386,0.7215349617578959,7,7,5,6,6,7,8,12,6,4,6,12,48
Lasso(alpha=0.4),0.8141995344745536,88.94289386036019,0.07483560179715572,57.530645713498245,69.90956941932976,0.8145881241096915,0.7398104148664,-83.79449647206447,0.06387792930326426,-57.368701390203,-66.56025062031968,0.7470979575310736,11,11,12,12,12,11,0,10,8,12,11,10,51
"Ridge(alpha=0.1, solver='saga')",0.8128646380020823,89.26183025908625,0.07650009541224419,57.57007674815213,70.11966880671343,0.8134741005461844,0.7371961108472378,-83.93658309580452,0.06519133553347656,-56.44296600930795,-66.59718268124617,0.7435244644660034,13,13,13,13,13,13,1,11,9,10,12,11,54
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.8845825672457687,70.10089483092058,0.044934106487343535,41.78286666666668,53.28586467661691,0.8849925313666724,0.4344615514918645,-79.45664834294888,0.06700298936839871,-59.36776333333332,-65.80571914643328,0.756837020745458,6,6,8,9,8,6,10,9,10,13,10,9,61
LinearRegression(positive=True),0.813657638384075,89.07250256361556,0.07460333205152662,56.24499942800071,69.76094642738664,0.8138687936426576,-0.17398730967358356,-184.56965135512687,0.11932974862982895,-57.21837359209267,-88.88564190770134,0.06762334870176759,12,12,11,11,11,12,13,13,13,11,13,13,76
