,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9216172479717637,61.06778090713036,0.018994734970809484,24.2200927734375,42.355683698810516,0.9221783810853199,0.9004814926000761,-52.59145812063099,0.01807554687616327,-24.222511291503906,-35.8149987891061,0.9080288970398493,0,0,0,0,0,0,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x000002066433B6D0>,0.9144122943479764,63.812767097725846,0.019349511073764775,28.056959776372764,44.778570205439074,0.9146459727572106,0.8578291379977397,-55.77251803094445,0.02333063601475994,-24.6377932210875,-38.13468516498353,0.8846384450515276,1,1,1,2,1,1,3,1,2,1,1,2,10
"ExtraTreesRegressor(max_depth=20, n_estimators=81, n_jobs=-4)",0.9132584597574327,64.24146699710187,0.019532024397670683,29.938271604938222,46.07585509006273,0.9140081796847183,0.8831222267081171,-57.58615372501614,0.021791110918321484,-28.228580246913573,-40.30295855379189,0.899954555012499,2,2,2,4,3,2,1,2,1,3,2,1,10
"GradientBoostingRegressor(learning_rate=0.11, max_depth=7, n_estimators=50,
                          subsample=0.6)",0.9044658488555787,67.41882971511858,0.02369955628457528,28.552668657119284,46.05999464410142,0.9044991638480657,0.8618454851387154,-59.74754878539089,0.02468612962527722,-24.647063181712518,-40.49120937289039,0.8830287854532438,5,5,3,3,2,5,2,4,3,2,3,3,17
"RandomForestRegressor(max_depth=18, min_samples_split=5, n_estimators=50)",0.904870936375558,67.27574193694838,0.02541467836381413,35.16280714285716,50.068571809429166,0.9050339937857144,0.854510794005362,-62.08215812878924,0.025008018583212565,-28.279792290764824,-42.00856807779125,0.881782195763407,4,4,5,6,4,4,4,5,4,4,5,4,26
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=350, num_leaves=5)",0.8996809423082922,69.0865661293632,0.024214503797454653,35.07854096058611,50.384197853508105,0.8997703055213155,0.8497932870966365,-58.75506621595938,0.026546315910441622,-30.493530556919485,-41.68647424517777,0.8660832118941858,6,6,4,5,5,6,5,3,5,5,4,5,27
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.8427863000155535,86.4862525334337,0.03982576524824474,25.5,56.33756830601092,0.8433672744871294,0.8217348192695603,-76.78758493929982,0.045572049077830724,-30.633333333333336,-48.64420634920635,0.7920126537167584,10,10,8,1,9,10,7,10,7,6,6,10,46
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.8695122101670362,78.79285237810652,0.04189825508818965,45.46000000000001,62.11931085089776,0.8743124669960595,0.8153115499079835,-73.22281766168888,0.04729492533585328,-41.73306325757575,-52.56503382275132,0.8479602466318376,9,9,9,9,10,9,8,8,8,7,8,7,46
"AdaBoostRegressor(loss='exponential', n_estimators=110)",0.9118428917022972,64.763536074178,0.03466212504125918,43.93571428571431,52.198645636096074,0.9118490249201407,0.7924323847942529,-69.36670687933601,0.04340044469688997,-45.9297744284184,-56.363948887388474,0.8634243616942603,3,3,7,8,6,3,9,6,6,10,10,6,47
"SVR(C=1.6, cache_size=2000, epsilon=0.01, gamma=4, kernel='poly')",0.886226789977566,73.57358034068264,0.1419837360903225,45.958785105145864,55.39033736234928,0.8876590887825576,0.8260581856714,-73.07321999046047,0.06956057796117267,-44.39566511371039,-54.98613620474946,0.8395412089946669,8,8,13,10,8,8,6,7,9,9,9,8,48
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(60, 9), max_iter=60,
             solver='lbfgs')",0.8968860529628002,70.04233096016263,0.0311116455660956,36.47579572789988,53.95492603297999,0.8987943659476342,0.6542602955151817,-74.13786386494587,0.135357157772098,-42.03783780023896,-48.92872875067608,0.8120753528726887,7,7,6,7,7,7,13,9,13,8,7,9,59
"Lasso(alpha=0.4, max_iter=5000)",0.8349285487130202,88.62124966674084,0.0715207870008268,61.87876994946714,71.26723430360508,0.8379259708421374,0.7001837594344364,-85.42854385766123,0.07011645980170264,-53.60699868953984,-66.55501732140246,0.725315902351445,12,12,10,12,12,12,10,11,10,13,12,11,67
"Ridge(alpha=0.1, solver='sparse_cg')",0.8342272869805272,88.80929195702971,0.07842985095285387,63.089517133584195,71.38597326717918,0.837462337266745,0.6933425692581533,-85.78677256234133,0.0732491896616956,-52.802742423994644,-66.64027116361174,0.7223439007535004,13,13,11,13,13,13,11,12,11,12,13,12,71
LinearRegression(positive=True),0.8350856605408996,88.57906562761673,0.08553143502719962,60.52435373260778,70.3223038707217,0.8382538083800815,0.6849138176498576,-86.12969380214716,0.0765117679332422,-51.492488985423826,-66.16215870650609,0.7184108231190498,11,11,12,11,11,11,12,13,12,11,11,13,72
