,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x00000253076E7FD0>,0.919228515,63.93301917,0.035124079,28.82385818,42.33540304,0.924584088,0.901871558,-47.52602495,0.019947687,-24.00620577,-33.59276102,0.905539523,3,3,6,5,4,3,0,0,1,1,0,0,2
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.914073047,65.94181347,0.025252768,23.54351807,42.10133389,0.917085085,0.879910512,-53.67958731,0.018744102,-24.87320633,-36.45574796,0.885613395,4,4,3,1,3,4,1,1,0,2,1,3,8
"ExtraTreesRegressor(max_depth=20, n_estimators=81, n_jobs=-4)",0.92063799,63.37274365,0.023806043,16.45679012,39.03039781,0.92699907,0.877801626,-58.20459839,0.025362255,-22.97567901,-39.02165726,0.893050271,2,2,2,0,1,2,2,4,4,0,2,2,14
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=350, subsample=0.6)",0.901005326,70.77862055,0.034003754,26.7471672,45.07173419,0.907629236,0.874486582,-56.67907589,0.021804125,-28.04233153,-39.09645526,0.896062434,6,6,5,3,5,6,3,2,2,4,3,1,15
"RandomForestRegressor(max_depth=10, n_estimators=350)",0.924410438,61.84820403,0.022374464,23.81344898,39.04191895,0.927443187,0.866734979,-57.02184815,0.023258721,-26.43415827,-39.56729069,0.882051595,1,1,1,2,2,1,4,3,3,3,4,4,21
"LGBMRegressor(learning_rate=0.05, max_depth=19, n_estimators=350, num_leaves=5)",0.86012132,84.13407859,0.058449863,43.84796574,58.56195235,0.867152896,0.82134551,-62.03379179,0.034088607,-33.65113903,-45.76763988,0.859681481,10,10,8,11,10,10,6,5,7,6,5,5,34
"AdaBoostRegressor(loss='square', n_estimators=140)",0.935182625,57.27194068,0.020986035,27.23076923,38.11378158,0.937115805,0.837851619,-63.95551639,0.031524473,-36.34799983,-47.13950685,0.859330876,0,0,0,4,0,0,5,6,5,7,6,6,35
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2)",0.906440946,68.80802472,0.02607329,30.5,45.1337037,0.910099713,0.760682572,-78.07547154,0.033462062,-31.015,-49.54207937,0.798859315,5,5,4,7,6,5,10,10,6,5,7,9,47
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.889807408,74.67450949,0.063010926,42.38206667,58.15201712,0.900959062,0.820462516,-69.8425087,0.050649219,-44.79640576,-53.11926521,0.859259248,8,8,10,10,9,7,7,7,8,9,9,7,47
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.889299387,74.84644775,0.059912592,42.03998058,52.65030036,0.896827217,0.816330968,-73.31767245,0.077356497,-42.72556077,-53.9353431,0.848432322,9,9,9,9,8,8,8,8,12,8,10,8,54
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(40, 8), max_iter=60,
             solver='lbfgs')",0.8909598,74.2830112,0.05356577,30.06071154,50.79682897,0.892892903,0.797230177,-74.69786762,0.053135911,-45.32289369,-52.15105431,0.78885194,7,7,7,6,7,9,9,9,9,10,8,10,55
"Lasso(alpha=0.8, max_iter=3000)",0.850822684,86.88555389,0.0954975,40.19853721,62.92820016,0.853354817,0.718672599,-83.36275843,0.064853651,-56.03188794,-64.56264169,0.737842263,11,11,11,8,11,11,11,11,10,13,12,11,68
LinearRegression(),0.835655471,91.19558334,0.158044912,45.06831315,65.55076902,0.839321777,0.708956905,-84.07664518,0.085845958,-51.20768305,-63.89969493,0.72536237,13,13,13,12,13,13,13,12,13,11,11,13,73
"Ridge(alpha=0.1, solver='sag')",0.843209909,89.07492925,0.117093536,50.75380556,64.25899272,0.846320107,0.714406954,-84.09826888,0.076107411,-53.87312525,-64.57324622,0.732649607,12,12,12,13,12,12,12,13,11,12,13,12,73
