,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9521859576641498,50.428578025520856,0.018050223655002647,24.279449462890625,34.92327728271484,0.9526741447660537,0.9169521770061179,-44.93856959718524,0.018797977119062507,-24.67949920654297,-33.08538580599698,0.9245657696174086,1,1,1,2,0,2,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x000001DF81BA9910>,0.9515372673273098,50.769506377729904,0.019440418965802495,28.846456593789924,39.01931315751205,0.9542267470826269,0.910433103648655,-48.52130671059463,0.022775785121574608,-26.164058087420877,-35.479015736152704,0.9190888727458996,2,2,4,5,3,1,1,1,1,2,2,1,8
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=650, subsample=0.6)",0.935756506944944,58.45390972625792,0.018418340780538958,29.262969296510505,44.09290957494962,0.9396054831601524,0.8954825844953721,-53.79484531349998,0.025871641039740576,-25.440194223024765,-34.47605268830121,0.9109759406641906,5,5,2,6,6,4,2,3,4,1,1,2,13
"ExtraTreesRegressor(max_depth=15, n_estimators=41, n_jobs=-2)",0.955999213142297,48.37591725936406,0.01230207143137449,26.821951219512187,35.49371766444937,0.9562013057078806,0.8682591456311609,-50.70203466856532,0.023725217159487614,-28.87560975609756,-36.90939689578714,0.9109546236993816,0,0,0,4,1,0,3,2,2,3,3,3,16
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(70, 9), max_iter=60,
             solver='lbfgs')",0.915184375246774,67.16405738885,0.03652198682189067,20.80557640603672,41.33787437202468,0.9154128479574647,0.8473752933514908,-59.36558255023401,0.028899317630601096,-34.43950071961012,-47.728241026151835,0.8735276712736368,9,9,8,0,4,9,6,4,5,4,5,7,31
"LGBMRegressor(learning_rate=0.07, max_depth=19, n_estimators=650, num_leaves=5)",0.9175398194188459,66.22487268933122,0.04348025159845105,34.6659354602466,48.02792366781625,0.917751417811671,0.8588627370384184,-63.68613877335192,0.03669343610339765,-38.361594187245274,-47.806879981608006,0.8858744924614017,8,8,9,8,8,8,4,6,7,5,6,5,33
AdaBoostRegressor(loss='square'),0.9010207635545965,72.5556172170146,0.027572023608302066,53.5,58.506286058250915,0.9055577005708082,0.852220762874993,-66.48999376488841,0.02440367464274186,-40.56091039289659,-47.9920094603644,0.8980842794658337,10,10,6,13,11,10,5,7,3,7,7,4,33
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.9366660437823287,58.03864973681526,0.01873897485877745,33.27000000000004,46.035030303030304,0.9393162841540355,0.8310557551168142,-61.77824353381728,0.03320516478930587,-39.520399999999995,-46.28304000000001,0.8775032952257579,4,4,3,7,7,5,7,5,6,6,4,6,34
"SVR(C=1.6, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.9353498997109846,58.638599976184,0.06269049028331182,25.521698856976172,43.827729238946105,0.9376769524585525,0.7977434041638836,-69.15764146553317,0.0652950721395735,-43.74281791659804,-52.97159374545987,0.8586466409048009,6,6,11,3,5,6,9,8,10,9,8,8,52
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.9320147138626457,60.13211179206,0.032139567977647145,43.4798571428571,49.987520923520925,0.9320431734266363,0.8014554805164229,-73.46928147412225,0.05793356457558964,-48.48503636363637,-54.08983355477856,0.8465693798504805,7,7,7,11,9,7,8,9,8,10,9,9,53
"DecisionTreeRegressor(max_depth=10, min_samples_split=5)",0.9463218529720907,53.43154707720873,0.021124010953616396,24.0,35.69747474747474,0.94877683780071,0.7474829509269559,-89.88331649823688,0.062261887965445475,-42.33333333333333,-60.69857575757576,0.7735616652649817,3,3,5,1,2,3,10,13,9,8,10,13,63
LinearRegression(positive=True),0.8592379118570692,86.52504656758141,0.07410420997462695,43.390014138899915,60.98364114305792,0.8594845161963656,0.7429158784600329,-82.19287463085216,0.1264302029496233,-54.7064094368106,-65.00206462939708,0.783308554047931,13,13,13,10,13,13,11,11,13,11,11,12,69
"Lasso(alpha=0.8, max_iter=3000)",0.8765579085049577,81.02716184027248,0.059821458473118705,42.52276139024585,57.53826691871807,0.8766117958399126,0.7410767443249096,-81.99102611165469,0.07441182891204513,-55.82424600361228,-65.72613636950902,0.7886623879826032,11,11,10,9,10,11,12,10,11,13,13,10,69
"Ridge(alpha=0.1, solver='saga')",0.8650104471766753,84.73231472174427,0.0697074371815697,44.39141795053456,60.702009616890265,0.8652058003997711,0.7409608601244961,-82.20638247245469,0.10291849183010518,-55.638152595673375,-65.48331489298388,0.7846881083479378,12,12,12,12,12,12,13,12,12,12,12,11,72
