,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000002066940E130>,0.879666712,76.99446098,0.041598437,36.64795037,53.17191896,0.879760554,0.875541215,-45.96456784,0.018847434,-22.26322227,-32.91163818,0.894339523,2,2,5,5,3,2,0,0,3,0,0,0,3
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.835701847,89.9669365,0.041581106,33.5580368,58.52432141,0.83616654,0.850648849,-50.24570938,0.016598387,-28.10600784,-37.31099351,0.876588018,8,8,4,2,5,7,1,2,0,3,2,1,9
"GradientBoostingRegressor(learning_rate=0.09, max_depth=9, n_estimators=650,
                          subsample=0.6)",0.887183328,74.55095876,0.026778098,23.03723926,46.26377161,0.887218266,0.846064377,-49.78839342,0.017457457,-27.16576803,-37.85709705,0.871830601,1,1,1,0,0,1,2,1,1,2,3,3,12
"ExtraTreesRegressor(max_depth=20, n_estimators=41, n_jobs=-4)",0.865330333,81.45194967,0.035933968,31.42073171,51.05741463,0.865428548,0.834616535,-53.20692065,0.018688672,-25.50865854,-35.44968346,0.875106594,4,4,2,1,2,4,3,4,2,1,1,2,13
"RandomForestRegressor(max_depth=22, n_estimators=200)",0.847148867,86.77625877,0.03969168,35.22975,57.44464,0.847888668,0.830772279,-52.90557992,0.021671768,-29.47235,-38.48014577,0.853200167,6,6,3,4,4,6,4,3,4,4,4,4,23
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=350, num_leaves=5)",0.861641995,82.55982007,0.044234018,52.98638081,61.40198217,0.86181465,0.818900529,-56.25103851,0.024246238,-33.62158439,-42.55550923,0.83828302,5,5,6,8,7,5,5,5,5,5,5,6,31
AdaBoostRegressor(),0.79209471,101.2043923,0.062431759,34.04428571,64.51999951,0.79278031,0.76853896,-64.71670671,0.035577752,-39.81426718,-48.49583041,0.824622675,9,9,8,3,8,9,8,6,7,7,7,8,43
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=2, min_samples_split=5)",0.913452133,65.29723275,0.024010553,39.04166667,49.00916667,0.915982731,0.701897036,-65.84350509,0.024656599,-37.18708333,-47.20053615,0.741897714,0,0,0,6,1,0,10,8,6,6,6,10,46
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.836088132,89.86111264,0.065991667,60.594,69.82533886,0.836088175,0.794382048,-65.02818795,0.050840291,-47.38851611,-52.31800934,0.847870178,7,7,9,10,9,8,7,7,8,10,9,5,46
"SVR(C=1.6, cache_size=3000, epsilon=0.08, gamma=4, kernel='poly')",0.871317014,79.62091347,0.061198631,51.68815806,60.97795303,0.871512049,0.816124983,-68.95654357,0.06841467,-44.75089112,-51.03996028,0.838019888,3,3,7,7,6,3,6,10,9,8,8,7,48
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(70, 6), max_iter=60,
             solver='lbfgs')",0.76861174,106.767052,0.104515494,88.98996261,85.87655895,0.768836485,0.752288563,-68.47620365,0.106917443,-44.76124595,-81.90840267,0.7799769,13,13,13,13,13,13,9,9,13,9,13,9,62
"Lasso(alpha=0.1, max_iter=4000)",0.770572243,106.3137828,0.073881243,63.06610467,77.56957302,0.772377644,0.67643787,-82.58833259,0.074447858,-52.79307306,-63.15262112,0.688840002,11,11,11,12,11,11,12,11,10,12,10,12,67
"Ridge(alpha=0.1, solver='sag')",0.775797559,105.0961386,0.072147916,63.02237484,76.67098894,0.777390831,0.677918644,-82.63705014,0.07450353,-52.69974245,-63.2888342,0.689981759,10,10,10,11,10,10,11,12,11,11,11,11,67
LinearRegression(positive=True),0.769662103,106.5244475,0.075454815,59.71735122,77.67126334,0.771223613,0.670838255,-83.03704211,0.082196739,-52.83706049,-63.34713898,0.683544642,12,12,12,9,12,12,13,13,12,13,12,13,76
