,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x00000253076D7640>,0.932671324058198,60.91065349311406,0.0359847684903042,28.285636781966105,44.42247916991758,0.941022640138193,0.8849269400553137,-53.29991664166234,0.02426399949965789,-23.758994224350413,-36.00973718674378,0.893707379772183,2,2,5,3,4,2,0,0,1,0,0,1,2
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9558008313465779,49.351490355153274,0.01816047515633821,22.2510986328125,36.19015089246962,0.9609278399752916,0.8837376173259119,-55.37818572389017,0.02161902971725251,-25.779859924316405,-37.61485312325614,0.8976348725795541,0,0,0,0,0,0,1,1,0,1,1,0,4
"GradientBoostingRegressor(learning_rate=0.11, n_estimators=500, subsample=0.8)",0.9429217843788139,56.08263570236184,0.01991052621676052,24.63126035496225,39.346779800480284,0.9477826797685012,0.8663391673704602,-60.8124855465767,0.026607527202362365,-31.679365091446293,-39.103485046246995,0.8777417366498799,1,1,1,1,1,1,2,2,2,3,2,2,13
"ExtraTreesRegressor(max_depth=15, n_estimators=21, n_jobs=-4)",0.9314161688710663,61.475786362550316,0.021384067659831776,32.0,41.232063492063496,0.9392074049887077,0.85129779747624,-63.75427877967885,0.031232062532621042,-30.135714285714293,-43.737391534391534,0.8647543877633014,3,3,2,5,2,3,3,3,3,2,3,3,17
"RandomForestRegressor(max_depth=10, n_estimators=500)",0.9191755741906791,66.73667052129869,0.025249520077536648,28.957600000000014,44.75787310636282,0.9240388577339959,0.8160251966822434,-65.47624978262816,0.03147168554134851,-34.72021124168642,-45.26148221135278,0.8510630101246628,6,6,4,4,5,6,4,4,4,4,4,5,25
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=650, num_leaves=5)",0.8623967276060892,87.07783106018023,0.06293620526422837,39.264106228984645,62.65569226672764,0.8730463701980037,0.8153707838154081,-70.6562600207126,0.04421393921667967,-36.60478924525462,-49.7158207206062,0.8331495363221192,10,10,9,6,10,10,5,7,6,5,5,7,35
AdaBoostRegressor(loss='square'),0.9210594889889347,65.95431114014893,0.03648023603711819,49.14285714285711,50.23720991405712,0.9306459846534585,0.768427750148399,-68.89582257827134,0.03701052794049067,-38.69938053805512,-52.45410585434185,0.8321816471544938,5,5,6,9,6,5,8,5,5,6,6,8,38
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.9040806517796688,72.7019955212603,0.05565251803020287,50.37857142857143,58.77550680524071,0.9138007672095965,0.812221452557789,-70.20954896158412,0.047269552893669124,-47.491627936507946,-54.52200626448156,0.8525125266187435,7,7,7,10,8,7,6,6,7,9,8,4,40
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 9), max_iter=60,
             solver='lbfgs')",0.8810280752803943,80.96838293346929,0.05718264001718077,42.73382108643773,55.941761510704886,0.8925521653592421,0.7649299554499908,-72.91011714992952,0.04816731494869909,-46.259189041319054,-53.02645487700348,0.8214421981826355,9,9,8,8,7,9,9,8,8,7,7,9,48
"SVR(C=1.6, cache_size=2000, epsilon=0.01, gamma=4, kernel='poly')",0.8826724093728825,80.40689620084946,0.0693744992103703,42.1510355795117,58.927356491732986,0.9021946384854563,0.8062126696312676,-73.88415800030035,0.05426786964902689,-46.3649788148765,-56.052844315820536,0.8374286998518665,8,8,10,7,9,8,7,9,9,8,9,6,48
"Lasso(alpha=0.8, max_iter=3000)",0.8538696383366157,89.7353273784824,0.09802854154561788,55.56186231275001,67.14056881717374,0.8613899113999457,0.6840928686037023,-87.35749346535991,0.07511694082676565,-60.686629994012854,-68.32471659636083,0.7151231608627013,11,11,11,13,13,11,10,10,11,13,12,10,66
"DecisionTreeRegressor(max_depth=25, min_samples_leaf=2)",0.9246748807795644,64.42629188786013,0.024025236019354197,26.5,41.67481481481481,0.9314688819502079,0.639744702029592,-99.73027268826748,0.06172704090919843,-48.748333333333335,-65.0063492063492,0.6505389149771984,4,4,3,2,3,4,13,13,10,10,10,13,69
"Ridge(alpha=0.1, solver='sag')",0.852628282496465,90.11566553398272,0.11340993482035891,52.40149498120809,66.21929651430882,0.8607507902874998,0.6782473332489122,-87.9676393301917,0.09045752449157578,-57.41074242595967,-68.47509028286422,0.7051870210308959,12,12,12,12,12,12,11,11,12,11,13,11,69
LinearRegression(positive=True),0.8522942166773636,90.2177459161577,0.12084792594864557,51.862287584970886,65.76038219022104,0.8602863869133739,0.6740936925566199,-88.31723724701244,0.09986014854750794,-57.53427642337306,-68.30192024760728,0.6983240822449365,13,13,13,11,11,13,12,12,13,12,11,12,72
