,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"GradientBoostingRegressor(learning_rate=0.05, max_depth=7, n_estimators=650,
                          subsample=0.9)",0.9614375699047837,48.54929862068272,0.016236718336599294,22.984642801432443,34.167954846305754,0.9623267403219395,0.8274481465896558,-58.81593273444157,0.03004137167039653,-23.708218380574067,-39.40106574097039,0.8504696391267187,0,0,0,0,0,0,5,0,0,1,0,1,7
"RandomForestRegressor(max_depth=22, n_estimators=200)",0.9538903999066333,53.08800935883311,0.02017523777287215,31.70014999999998,39.18103310810816,0.9564632543396314,0.8509660767075584,-60.00790516172935,0.03206254326222602,-28.04304000000002,-41.66145334166667,0.8722336625668005,2,2,2,4,2,2,0,1,1,4,3,0,9
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9565594161522212,51.52862928100616,0.018107493203660095,25.44122314453125,37.98561156401763,0.9572387759886398,0.838968104937932,-60.5996094047709,0.03257563361220658,-26.426532073974606,-40.78694746398926,0.850074944721789,1,1,1,1,1,1,1,2,2,3,2,3,13
<catboost.core.CatBoostRegressor object at 0x000002152ABFFBB0>,0.9498970939982566,55.339116476670235,0.04623891502548585,38.09890057888356,43.705807119411304,0.952478884852879,0.8376755061644419,-63.5795244418545,0.04284017136804847,,-43.296097064430874,0.8500793005925262,3,3,7,7,5,3,2,5,6,0,4,2,19
"ExtraTreesRegressor(max_depth=25, n_estimators=21, n_jobs=-5)",0.9416507709733682,59.7197971819138,0.02458881412346699,29.904761904761898,41.981145431145436,0.9441954690366025,0.8328460439874179,-61.31055323279858,0.03602254051827262,-24.093261904761903,-39.49937698412699,0.8305644519692368,5,5,3,3,3,5,4,3,3,2,1,8,21
"LGBMRegressor(learning_rate=0.05, max_depth=7, n_estimators=650, num_leaves=5)",0.9483210470677426,56.202756457493535,0.029253498225328203,29.803219615373294,43.3708759346234,0.9483435764150933,0.8169746718739734,-65.29660315632479,0.039920395145019966,-30.071035117868792,-45.15064991637178,0.834827217516765,4,4,6,2,4,4,6,7,5,6,5,5,34
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=2)",0.9318297189360633,64.55030600202416,0.02708320392727122,32.333333333333314,45.41094594594595,0.9326138921500473,0.7724758528241515,-63.49904737298637,0.03778666402965327,-28.33583333333333,-45.55396107142857,0.7901677758377919,7,7,5,5,6,7,9,4,4,5,6,9,37
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9374544880379954,61.829941981440385,0.02535426276468529,32.7882575757576,46.83970284605143,0.9388112624631455,0.8345234424826973,-64.6076386416344,0.043327914917188334,-39.57394569596939,-50.33314869112894,0.8334688084784541,6,6,4,6,7,6,3,6,7,7,7,7,37
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.9101368494832361,74.1125204749361,0.05477587294104035,49.45841666666669,59.61810392535393,0.9141011448786783,0.816284856131863,-67.29550802913225,0.05452116759342425,-50.08257666666664,-55.61024521055555,0.8449080934519525,9,9,9,9,9,9,7,8,8,10,10,4,47
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.9158759646397882,71.70687755150941,0.048249563897359,45.247384348723386,53.73183993115977,0.9188757245895003,0.8089415248846864,-75.49440764465501,0.09002945069268077,-40.74351532360906,-55.01731800898009,0.8338158780253544,8,8,8,8,8,8,8,9,12,9,8,6,52
"MLPRegressor(hidden_layer_sizes=(60, 6), max_iter=60, solver='lbfgs')",-0.014292753177959527,248.9902976636979,0.3737834307897926,233.86391530879393,216.9237723390262,0.0,0.6147745011006049,-75.68586101493322,0.0664671813879947,-40.23876727404123,-55.03965576299146,0.7770539317602144,13,13,13,13,13,13,12,10,9,8,9,11,59
Ridge(solver='saga'),0.8774288165942877,86.55555644150301,0.07430543574599102,60.69184452610591,69.23240097377489,0.8836186037877648,0.7391515721098137,-87.24098039652898,0.07171014660051013,-58.33331764744952,-68.94169121402807,0.7780486964237501,11,11,12,10,11,12,10,11,10,12,12,10,65
"Lasso(alpha=0.2, max_iter=4000)",0.8779125620167059,86.38458538956759,0.07061381104917,65.66452443969013,68.90790898138049,0.8866428847090384,0.733016836340363,-88.26565576073598,0.07330250007115104,-56.45784271994985,-68.28154002858793,0.774337050645557,10,10,10,11,10,10,11,12,11,11,11,12,68
LinearRegression(),0.8755196265998872,87.22705387878932,0.07212163901307665,67.58921601535144,69.44174639349622,0.885217396676847,0.6092869339099407,-102.75162418570756,0.12804288470077507,-58.647631347193375,-74.38044958088844,0.6679459592516376,12,12,11,12,12,11,13,13,13,13,13,13,78
