,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9512998774853727,49.02435072366655,0.02177024397777818,21.894012451171875,33.7348002438429,0.9515354079170716,0.9001485437838321,-58.65730147470211,0.03110252014241833,-26.531167297363282,-40.083358445465244,0.9081660780545441,0,0,1,2,0,0,0,0,0,4,1,0,5
<catboost.core.CatBoostRegressor object at 0x0000028425DE1AC0>,0.9420596088274634,53.47336754980202,0.02553813380566632,21.281145699665075,36.29575945585728,0.9427629554809253,0.8918045301311629,-60.92715306762299,0.03769664856967861,-24.92917030440106,-40.83587112274582,0.9022252862035464,3,3,4,1,3,4,2,1,2,0,2,2,9
"ExtraTreesRegressor(max_depth=25, n_estimators=21, n_jobs=-5)",0.931627364686945,58.08820861017575,0.02738011868128756,22.642857142857167,38.287996515679446,0.9320215632676296,0.87786132969948,-65.53964361163226,0.03420116479215123,-25.99340476190476,-40.01484152179391,0.9003559824524994,6,6,5,3,4,6,6,5,1,1,0,3,16
"LGBMRegressor(learning_rate=0.09, max_depth=19, n_estimators=200, num_leaves=8)",0.9493269340760466,50.00753119512507,0.022376742340417692,23.43539895159597,35.815420326297875,0.9499558999835533,0.8928905182145972,-60.96699490444624,0.038733493072193585,-27.461693306082612,-41.78200602519644,0.902287582834392,1,1,2,4,2,1,1,2,4,5,3,1,16
"GradientBoostingRegressor(learning_rate=0.03, n_estimators=650, subsample=0.6)",0.9491030624734741,50.11787510390165,0.021067213124672687,19.690782420379264,34.283046588249654,0.9493137349939867,0.8871855912299835,-63.08321116034433,0.038578935155228054,-26.406000387283456,-41.98615623801719,0.896407294706987,2,2,0,0,1,2,4,3,3,2,4,5,21
"RandomForestRegressor(max_depth=10, min_samples_leaf=2, n_estimators=200)",0.9420024113620564,53.499754898680386,0.02390570612564097,25.066744682539635,38.67427735287776,0.9432647444386248,0.8896826841764952,-63.134186753639284,0.03876247482764703,-28.784087889207104,-42.06407036056264,0.8976264224864933,4,4,3,5,5,3,3,4,5,6,5,4,27
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=4, min_samples_split=5)",0.9325565742433742,57.69213813519127,0.029495989609754837,27.5,41.60229442508711,0.9340256111575241,0.879888761643419,-67.75295471757418,0.04350583350032904,-26.530833333333344,-44.91597872889896,0.8717510880217223,5,5,6,6,6,5,5,6,6,3,6,6,32
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.9106543975367368,66.4023446618071,0.04705445710782183,38.510828571428604,50.704189968274065,0.9123915070857944,0.8432921744351422,-71.24785876871027,0.056785460491486195,-45.75584791713048,-55.02407506409742,0.8607409061029541,8,8,8,8,8,8,8,7,8,9,7,8,47
AdaBoostRegressor(n_estimators=80),0.9253494500335517,60.69645539759236,0.03393122771431534,36.727348484848534,47.52576594730441,0.9262189870418154,0.8473532973876082,-75.16705523152142,0.05628122332803201,-46.31516542946178,-56.71002529387658,0.8644332904181026,7,7,7,7,7,7,7,8,7,10,9,7,48
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.8756969491385111,78.32271214143185,0.060131374793650126,40.53357827743564,57.01297404286507,0.8767755912434811,0.8284450916762504,-75.67265232930986,0.14148054842419874,-41.32938757763306,-55.966981581302846,0.8445177472906972,10,10,10,9,9,10,9,9,13,7,8,9,55
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(60, 9), max_iter=60,
             solver='lbfgs')",0.8766871646315225,78.01012352442653,0.05037743644984005,41.937922529298405,57.48741875870707,0.8782306163213953,0.8196498671175977,-86.06360729704056,0.06748634191606152,-43.23914300359729,-60.691932344703446,0.7329015686773745,9,9,9,10,10,9,10,10,9,8,10,13,60
"Lasso(alpha=0.8, max_iter=3000)",0.8348770572157806,90.27147395192742,0.0760824582450659,67.62080638905701,73.32958305924716,0.8362525838720224,0.7762052626839229,-88.53008475983319,0.07474934949626992,-57.43652937108652,-69.45709080960458,0.808209674609856,12,12,12,13,13,12,12,12,10,11,12,10,67
Ridge(solver='sag'),0.8418080804838787,88.35659510946701,0.0748031847100485,66.64075342451872,72.22810755158993,0.843218868440599,0.7778421581547434,-87.72065233353761,0.07478837405386878,-58.54618615958473,-69.75958956376896,0.8057850677669182,11,11,11,12,11,11,11,11,11,13,13,12,71
LinearRegression(positive=True),0.8340729422264987,90.49100881984438,0.07759072080633617,61.88097503147745,73.32369320213672,0.8357511777329207,0.7754024409741518,-88.82581208470016,0.08188692905770008,-57.48273830783567,-69.03789571167088,0.8065567887823152,13,13,13,11,12,13,13,13,12,12,11,11,72
