,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.942319562,53.49640429,0.01837056,22.25653076,36.2212416,0.942683697,0.92042883,-40.9959105,0.012492669,-23.45000626,-29.92479983,0.930666469,0,0,0,2,0,0,1,0,0,2,0,1,4
<catboost.core.CatBoostRegressor object at 0x0000011E1A4659A0>,0.925494472,60.80013819,0.035519881,23.94294945,39.54017818,0.929195455,0.927133009,-45.58321221,0.021639942,-26.04774735,-32.34148021,0.932664033,4,4,7,4,4,4,0,2,2,3,1,0,8
"GradientBoostingRegressor(learning_rate=0.11, n_estimators=650, subsample=0.7)",0.93600418,56.34898788,0.020182679,21.13526234,38.66280877,0.936773482,0.910977475,-43.38643811,0.021167761,-23.0280408,-33.67588885,0.914946353,3,3,2,1,3,3,2,1,1,1,2,2,9
"ExtraTreesRegressor(max_depth=15, n_estimators=61, n_jobs=-2)",0.940351826,54.40125183,0.025256754,20.63934426,36.62718521,0.941867144,0.904667601,-56.00250834,0.021717731,-23.00465301,-36.69333175,0.913054295,1,1,5,0,2,1,3,5,3,0,3,3,17
"RandomForestRegressor(max_depth=22, n_estimators=350)",0.937813708,55.54662113,0.019449269,22.70908571,36.51334772,0.938645306,0.896936958,-54.49688729,0.023152837,-30.04643286,-38.68006998,0.899579173,2,2,1,3,1,2,4,3,4,4,4,4,23
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=650, num_leaves=5)",0.905181912,68.58922765,0.035916937,37.03992845,50.24381758,0.909687662,0.873851142,-55.64241365,0.037057365,-32.85956441,-40.05149096,0.882490512,8,8,8,10,9,8,5,4,7,6,5,5,32
"AdaBoostRegressor(loss='square', n_estimators=80)",0.924769371,61.0952804,0.022992016,28.27272727,44.5119636,0.928161236,0.853639089,-58.84055664,0.027070267,-34.91566727,-40.93342895,0.854505956,5,5,3,7,6,5,7,6,5,7,6,7,38
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.919025331,63.38476821,0.02299842,27.8,43.0787234,0.920232228,0.81125419,-67.7882711,0.03603801,-32.3625,-44.92768854,0.84400592,6,6,4,6,5,6,9,8,6,5,7,10,45
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.891099815,73.50631054,0.044888037,31.6357641,51.34107371,0.891708081,0.844243685,-66.63207343,0.051216664,-46.07991971,-51.73733322,0.853405891,9,9,12,8,10,9,8,7,8,9,9,8,49
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.91718418,64.10131948,0.032843071,33.42192243,48.52276283,0.917577153,0.855241871,-69.18913599,0.173015083,-39.84227973,-51.78947977,0.866008775,7,7,6,9,7,7,6,9,13,8,10,6,52
"MLPRegressor(hidden_layer_sizes=(50, 6), max_iter=60, solver='lbfgs')",0.883469878,76.03777806,0.046359002,27.42383979,48.71264206,0.883472057,0.727653072,-74.68648423,0.142380371,-46.18219898,-51.54636057,0.853337165,10,10,13,5,8,10,10,10,12,10,8,9,59
Ridge(solver='saga'),0.868441558,80.79224535,0.041494137,51.23367561,63.46864693,0.86937055,0.713812945,-86.17777196,0.073760243,-64.68673776,-70.50054431,0.733062475,11,11,11,12,12,11,11,11,9,13,12,11,67
"Lasso(alpha=0.1, max_iter=4000)",0.857629635,84.04659365,0.038535667,50.01907641,63.39026071,0.859185559,0.686000328,-86.6502202,0.090043753,-60.93967785,-69.14898249,0.726379656,12,12,9,11,11,12,12,12,10,12,11,12,69
LinearRegression(),0.856621306,84.34369559,0.038721337,51.26292288,63.56232962,0.858290338,0.408314561,-138.2371047,0.113399354,-60.77489629,-80.2777129,0.466188994,13,13,10,13,13,13,13,13,11,11,13,13,74
