,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=20, n_estimators=61, n_jobs=-3)",0.9768411617415927,38.02587509462506,0.013931799578995043,20.032786885245912,27.427868852459007,0.9770339593457,0.8900621611788294,-50.9433526964138,0.018990759433806903,-27.179918032786883,-36.462703959351934,0.9089009807217024,0,0,0,1,0,0,0,2,1,0,0,0,3
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9671493912735061,45.28898038205516,0.02310375171349772,19.81085205078125,31.30187968860973,0.9681317060057526,0.8828852261874504,-48.97961610583301,0.016910545538511682,-28.9910026550293,-36.613097062138785,0.9031279736610109,1,1,2,0,1,1,2,0,0,1,1,1,5
<catboost.core.CatBoostRegressor object at 0x0000020663F0FA00>,0.9648309306380125,46.859890629911924,0.03209554970443472,24.24021270534388,35.47341246715333,0.9667353437664815,0.8834721294713933,-50.2967917268455,0.02047402991430867,-30.530641290080247,-36.647134891350746,0.8932222799641801,3,3,5,3,3,2,1,1,2,2,2,2,10
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=350,
                          subsample=0.6)",0.9513742656456285,55.10029437555544,0.03092577590411451,20.549026341792796,32.88072003457348,0.9525709792148739,0.863520612066951,-53.47561582173065,0.023208368158506083,-30.56023069149709,-37.663943218855955,0.8761787081563067,6,6,4,2,2,5,3,3,3,3,3,4,19
"RandomForestRegressor(max_depth=26, n_estimators=650)",0.9463078012501929,57.899715142111006,0.036071688578927834,25.313846153846157,36.128072727272745,0.9474254838346858,0.8596415249386471,-58.012082219865334,0.029185485033865387,-31.706561538461642,-41.94249433198379,0.8777005266902232,7,7,6,4,5,7,5,4,6,4,4,3,26
"LGBMRegressor(learning_rate=0.05, max_depth=13, n_estimators=500, num_leaves=8)",0.965175462424678,46.62979558875461,0.02140236621450324,28.444124956326732,36.000294912982305,0.9652224839322957,0.8601658075736587,-58.33784200373259,0.028911062060997233,-34.101000200065535,-43.41066426324328,0.8743127890502741,2,2,1,6,4,3,4,5,5,6,5,5,30
"AdaBoostRegressor(loss='exponential', n_estimators=80)",0.9127387018675593,73.81279781457373,0.0613548784358057,30.399999999999977,47.134070133677916,0.9158808820685888,0.8199227660793043,-59.96185469200406,0.028447957805626027,-39.948292860712094,-48.31996254341891,0.8687007396792865,10,10,8,7,8,10,8,6,4,8,7,6,39
"DecisionTreeRegressor(max_depth=25, min_samples_leaf=4)",0.9627238195815482,48.24324753790425,0.02503643930382535,32.21428571428572,37.54458874458876,0.9627466869125559,0.7908854622795294,-69.88560598976596,0.03514062003392273,-33.68666666666667,-46.18480792258424,0.8240589748249475,4,4,3,8,6,4,10,9,7,5,6,10,47
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.9360786089951432,63.17480951265509,0.0565258776931996,33.08414588497442,47.23972418192135,0.9363342913025641,0.8331072265080991,-69.29099189441249,0.0759313314322244,-40.37755324334166,-50.72848366820989,0.8519513595847974,8,8,7,9,9,8,6,8,12,9,9,7,51
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(50, 8), max_iter=60, solver='lbfgs')",0.9521514597173768,54.65818158832457,0.07396799142640557,27.345222496496632,39.5034437686262,0.9523441318146549,0.8126820676291118,-67.11565914011078,0.09767262636551478,-37.99728149971663,-49.82240955315523,0.8374075564979198,5,5,10,5,7,6,9,7,13,7,8,8,52
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.9095389611992784,75.15391648123648,0.0921726145520673,46.71799999999996,58.32239575757576,0.9192576853178915,0.8205262582801807,-70.09323655052782,0.050797263804194255,-47.39639999999998,-51.71347619231159,0.8347118723625963,13,13,13,10,10,9,7,10,8,10,10,9,54
"Lasso(alpha=0.8, max_iter=3000)",0.9124369343075166,73.94031759889675,0.07303751644104989,46.78348072652534,59.02916420692928,0.9126925880601302,0.7152766397521386,-81.16449362290722,0.05868942623717776,-52.014569280127525,-64.20241837988189,0.7245016578009943,12,12,9,11,13,12,11,11,9,11,13,11,66
"Ridge(alpha=0.1, solver='sag')",0.9131285597193511,73.64772628433369,0.07804773053742634,49.31589915164025,58.56630234466006,0.9135159718006669,0.7089123676341074,-81.5467644897067,0.0625093200662671,-53.46875557915739,-64.12932127434462,0.7189406840012416,9,9,11,12,12,11,12,12,10,13,12,12,71
LinearRegression(positive=True),0.9124376292182786,73.94002419879718,0.08130553285799957,52.23396172935372,58.48922341414349,0.9126866771220125,0.703556312873016,-81.8094875450541,0.0640184004128972,-52.804131810092954,-64.04917858180187,0.7146271147489849,11,11,12,13,11,13,13,13,11,12,11,13,73
