,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x0000028426C429A0>,0.9050466018449204,60.59361864059906,0.031713027409416256,37.29246401606113,45.971569885872704,0.9135289598090451,0.9073813624385837,-55.96486112883553,0.026162929087949694,-27.197023234122703,-38.92347627819068,0.916432819933496,2,2,2,5,3,2,0,0,2,1,0,0,3
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.920122342388785,55.57561711389954,0.02449716001555068,23.060653686523438,37.49446948369344,0.9221627026296536,0.8992945339339238,-57.914297556820515,0.02401149774002489,-27.91660385131836,-40.46663494110108,0.9073922825209706,0,0,0,0,0,0,1,1,0,2,1,1,6
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=200, num_leaves=5)",0.9086274558407774,59.44009462902806,0.04162367858598324,40.97548277766893,46.78514895125526,0.9144878562094785,0.8979507860553712,-59.194402008134766,0.032833913883016236,-31.16406064658083,-43.64812815314949,0.9046261745754011,1,1,4,7,4,1,2,2,3,5,3,2,17
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-3)",0.9019345192871381,61.57858628485912,0.030205501108148524,35.11904761904762,44.47930839002267,0.905239547851244,0.8726349746150037,-66.40004275711168,0.02539567056200782,-30.12142857142856,-41.36369047619047,0.873189302904874,3,3,1,4,1,3,4,3,1,3,2,5,18
"GradientBoostingRegressor(learning_rate=0.11, max_depth=7, n_estimators=500,
                          subsample=0.6)",0.8853140409628932,66.59272070181542,0.0383123406838668,29.501856160166056,44.59003990589358,0.8905512965772904,0.8781197456397558,-68.72189339963516,0.032892428974429365,-30.852800560663827,-45.036200433892155,0.8800760526977964,4,4,3,2,2,4,3,5,4,4,4,3,23
"RandomForestRegressor(max_depth=10, min_samples_split=5, n_estimators=350)",0.8674393825470075,71.59437341767344,0.041920950752746065,27.713421338232223,49.129439605465336,0.8734419773432035,0.8574551640642352,-69.12943161905201,0.03715431343073573,-25.946717358550767,-45.704109061680235,0.869226862531477,5,5,5,1,5,5,6,6,6,0,5,6,29
"AdaBoostRegressor(loss='square', n_estimators=140)",0.8537677475730618,75.19573663965322,0.04745776399132389,39.08653846153845,55.902350682012504,0.8624595173907104,0.8639432339489177,-67.94634999558997,0.03711053743617848,-42.58574208444062,-49.18821145757569,0.8794222260467036,6,6,6,6,6,6,5,4,5,8,6,4,32
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.8229382538003819,82.74352239503898,0.0884033982814836,50.54139453027048,59.639403586015,0.8398008818845668,0.8410621510557507,-73.01330612043404,0.07892688455831882,-39.67895163225639,-53.37722491100709,0.8586104164269489,9,9,11,9,7,8,7,7,12,7,8,7,48
"DecisionTreeRegressor(max_depth=5, min_samples_split=10)",0.7058397447988108,106.65068034116469,0.07771527353719147,31.0625,66.18025666463166,0.7163086435976738,0.7601383473969381,-87.29113726937544,0.057133992026385305,-37.37937899303997,-58.231535275117906,0.784363908283175,13,13,9,3,10,13,10,10,7,6,9,10,52
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.8354471535661006,79.76719730308426,0.06837851087818836,56.29391025641024,61.0898450091575,0.8396298289858523,0.826330450817877,-75.6374635933139,0.0575206728161289,-47.965948717948706,-59.459653090659344,0.8324018408484066,8,8,8,10,9,9,8,8,8,10,10,9,53
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(60, 8), max_iter=60,
             solver='lbfgs')",0.84663651590819,77.00742765469438,0.06688099963478021,50.38746236024615,60.09124904287942,0.8590542697959942,0.8259647996605377,-80.3830238492011,0.09465934796788744,-44.110308403134255,-51.1505170974074,0.8569992525504068,7,7,7,8,8,7,9,9,13,9,7,8,55
"Lasso(alpha=0.2, max_iter=4000)",0.7824396181242426,91.71947066123086,0.08881407559929429,74.89128000832456,75.53235352623956,0.7983372068786869,0.7562297690264348,-89.35938181997692,0.07293892864810725,-62.531896351368424,-70.85111957169747,0.7733853751180062,11,11,12,13,13,11,11,11,9,12,11,11,65
"Ridge(alpha=0.1, solver='sag')",0.7820913795874092,91.79284680374161,0.08983795289096076,74.25706908774607,75.4394371792522,0.7981852119080468,0.7560303695717491,-89.39926304895087,0.07366191970100391,-62.81731729649336,-70.96085769261305,0.773183949115275,12,12,13,12,11,12,12,12,10,13,13,12,72
LinearRegression(),0.7827747254745143,91.64880588020976,0.08792680321693579,73.9019206885805,75.49273261932358,0.7985482167162703,0.7538941924258916,-89.83742855474719,0.07601236118371177,-62.4090198437244,-70.88298054031443,0.7712962934675375,10,10,10,11,12,10,13,13,11,11,12,13,73
