,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9588911748033032,47.18810083961466,0.011836791384845724,23.111099243164062,33.539359368218314,0.9600695529409684,0.9371239565821036,-52.66926025252645,0.01855944424882326,-24.13382308959961,-35.21530971490769,0.9391224773683199,0,0,1,0,0,0,1,1,0,0,0,2,4
<catboost.core.CatBoostRegressor object at 0x00000231C2FAA9D0>,0.9485131249907166,52.80964311218185,0.015232526411327236,32.84750525610934,39.335636261830054,0.9486986897603332,0.9413293622168795,-51.13244443678647,0.021940070654347166,-25.07981348608225,-35.47249236248852,0.9449679743567216,2,2,3,5,2,2,0,0,2,2,1,0,5
"ExtraTreesRegressor(max_depth=20, n_estimators=81, n_jobs=-4)",0.94947320113839,52.31495524087801,0.011245862161678536,25.890123456790093,38.19876543209876,0.9522251719323197,0.9326946489240928,-54.25301767835956,0.018568662357195044,-24.366049382716035,-38.107959435626086,0.9405659209443129,1,1,0,1,1,1,2,2,1,1,2,1,9
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=500, subsample=0.8)",0.9418486517315577,56.12351464595077,0.021342095470772256,27.15490151560769,39.868632767237436,0.942832288301194,0.9204686724915858,-59.26819907173029,0.02488475359949436,-33.6845577968155,-40.73107208279062,0.92813311655223,4,4,5,2,3,4,3,3,3,5,3,3,20
"RandomForestRegressor(max_depth=26, n_estimators=200)",0.9421764629778623,55.965101114742325,0.014446931269420945,31.72849999999994,41.85596666666665,0.9461704758698125,0.9152444288361943,-62.25734762626608,0.026269260436292446,-29.181999999999995,-42.629812380952394,0.9189140761741703,3,3,2,4,4,3,5,4,4,3,4,5,25
"LGBMRegressor(learning_rate=0.05, max_depth=13, n_estimators=500, num_leaves=8)",0.9251502588224578,63.67370447272981,0.027244498817246932,39.09160153246535,48.70274935774552,0.9262510152378011,0.917119892659888,-62.52532724657329,0.03347262746072136,-33.222661827474404,-43.91200374153057,0.921377250138263,6,6,7,6,6,6,4,5,6,4,5,4,28
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9186682915605482,66.37352966306722,0.026352007062163472,41.111111111111086,50.906069462725824,0.9191921175462485,0.9035373258893011,-65.88236411294017,0.030680262041057543,-36.853950584479286,-47.22342831844054,0.904145314353722,7,7,6,7,7,7,6,6,5,6,6,7,36
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.9119666003359391,69.05397811514912,0.031577172610133854,48.77499999999998,56.597491878306876,0.9164046768116514,0.8956728743713052,-70.22035609784807,0.049856431336385135,-40.882920694444536,-51.18839751523477,0.904975724563576,8,8,8,8,8,8,7,7,9,8,7,6,44
DecisionTreeRegressor(max_depth=15),0.9306695968114174,61.281139023356936,0.01701868141902275,30.0,42.10444444444445,0.9321760864201784,0.8380958716506086,-77.54254488128866,0.037644611331452804,-39.88,-51.22152380952381,0.8660992585468579,5,5,4,3,5,5,13,9,7,7,8,10,54
"MLPRegressor(hidden_layer_sizes=(40, 8), max_iter=60, solver='lbfgs')",0.8234273901072153,97.79724802806045,0.06686196713215742,58.147816974758825,73.79845517413872,0.82725936480853,0.8530881128654947,-82.19251918263815,0.04546380444259458,-44.60544241115772,-52.42267189342649,0.8967117348631681,13,13,11,10,12,13,9,10,8,9,9,9,54
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.8871552469026782,78.18179751338558,0.048354847538267985,49.67717102305312,60.74813496295469,0.8890373850950724,0.8867209783971189,-72.9599846203992,0.12332849807265431,-46.42929186832936,-56.03467278412832,0.8969174487864674,9,9,9,9,9,9,8,8,13,10,10,8,57
"Lasso(alpha=0.5, max_iter=7000)",0.8464316061127549,91.20442024690584,0.06660637878795633,58.36810955256948,73.44016000355624,0.8512342670777864,0.8450743258438322,-85.23112257073689,0.07028589939026884,-52.643390215038266,-65.87803211617044,0.8617920883306803,10,10,10,11,11,10,10,11,10,11,11,11,64
"Ridge(alpha=0.1, solver='sag')",0.8434564965124095,92.08364259821866,0.06723773560212756,62.6749823588122,74.06821533189218,0.8480445244202565,0.842331132909153,-85.80148414931988,0.07704375343091398,-52.952131550677414,-66.14063431326761,0.8594849756605353,11,11,12,13,13,11,11,12,11,12,12,12,70
LinearRegression(positive=True),0.8413244166275441,92.70859892819814,0.07081408777389239,62.52283874742807,72.83669515359232,0.8439424168848008,0.8389748829923256,-86.68919320481476,0.08450541714772171,-53.07127277921836,-66.24882512476054,0.8558691879854345,12,12,13,12,10,12,12,13,12,13,13,13,76
