,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9388723388366033,57.11304789429941,0.020590253532334776,33.529296875,43.54881652832031,0.9392319583532568,0.9069964372144927,-47.89581534517722,0.01730448477963163,-23.17713607788086,-34.74245383853004,0.9186193486013623,3,3,2,7,6,3,1,1,0,0,1,1,4
<catboost.core.CatBoostRegressor object at 0x0000016ED5394F40>,0.9411560040952806,56.036051526299325,0.025755888623747152,27.716216748353872,42.15272200355582,0.9430924910532281,0.920642796698344,-45.94205716829571,0.020493811463009014,-23.980020563480927,-32.358262784800026,0.9234664058750335,2,2,4,3,4,2,0,0,3,1,0,0,4
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=350, subsample=0.6)",0.9289491674602252,61.57451974885843,0.023197237148656145,24.6704478026806,42.08766119656902,0.9360668696445239,0.9021439343943986,-49.1564813293953,0.018780380035779334,-26.7812454925631,-35.25160660856016,0.9074376760890791,7,7,3,0,3,6,2,2,1,2,2,3,12
"ExtraTreesRegressor(max_depth=10, n_estimators=81, n_jobs=-4)",0.942082717418582,55.59305445439302,0.019132362360034808,26.802469135802426,39.482142600578804,0.947346427002311,0.8942508539484525,-53.48988420947648,0.020199472728145526,-28.31488919280912,-37.646772804898674,0.9116162169265634,1,1,0,2,1,1,3,3,2,3,3,2,16
"RandomForestRegressor(max_depth=26, min_samples_split=5, n_estimators=50)",0.9308000172058315,60.767230124203415,0.019242408615618805,27.92459920634917,41.132548783068785,0.937384275954106,0.8615598445760023,-63.036690329758976,0.03154628094146253,-30.44314875180374,-43.34274364265101,0.8857769776890793,5,5,1,4,2,4,4,5,5,5,5,4,28
"LGBMRegressor(learning_rate=0.11, max_depth=7, n_estimators=650, num_leaves=5)",0.8753865497601423,81.545294972336,0.050606310520832476,49.817449896056246,60.37785933381581,0.8821097648436877,0.8522136812201369,-59.65800350086847,0.03543294752245723,-30.95526917054114,-43.135628966090295,0.8604300876512777,13,13,11,13,13,13,6,4,6,6,4,8,34
"AdaBoostRegressor(loss='square', n_estimators=110)",0.9152491026589465,67.24942885667728,0.025857817330853686,31.0,47.50942733208877,0.9220068784890827,0.8358569762718224,-64.96423630732275,0.030006247351338437,-35.624567088684714,-44.85313635637402,0.8638282689944553,9,9,5,6,8,9,8,6,4,7,6,6,37
"SVR(C=1.6, cache_size=2000, epsilon=0.08, gamma=4, kernel='poly')",0.9527561687090478,50.20985909968781,0.26652596925560623,26.69677406957885,38.31517127816546,0.9529698188032794,0.8563306671401476,-65.70110953393419,0.0897715022232797,-37.12124280100483,-47.930619188324975,0.8775389835584522,0,0,13,1,0,0,5,7,13,8,7,5,45
"DecisionTreeRegressor(max_depth=25, min_samples_leaf=4, min_samples_split=10)",0.9092351892461237,69.59454517333667,0.029130611867042966,37.28333333333333,50.88967195767196,0.9206168768504451,0.7973325631479596,-76.68125858246628,0.04198521431132551,-30.19532738095238,-50.57664083522297,0.8161110483440206,12,12,7,9,11,10,9,10,7,4,9,9,48
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.9326452209693054,59.95158307404874,0.03474992581595311,33.63642857142855,46.67698427815573,0.9363366356642756,0.8419896557407964,-68.05495776573377,0.05034480268191479,-43.90331632653063,-52.06997445358422,0.8629601034533462,4,4,9,8,7,5,7,9,8,10,10,7,51
"MLPRegressor(hidden_layer_sizes=(50, 7), max_iter=60, solver='lbfgs')",0.9302897272878765,60.99087142786484,0.1805966917845348,29.541162066709603,43.18499365247875,0.9338349403778301,0.508553388491752,-65.89350009758014,0.0531311932887364,-38.56072820404557,-49.137590560696594,0.8138971803273964,6,6,12,5,5,7,13,8,9,9,8,10,57
"Lasso(alpha=0.8, max_iter=3000)",0.9206648799063182,65.06526297370223,0.0285655449845786,38.76981313598594,49.60173239084627,0.9249399263759573,0.727901734505257,-82.37101427591195,0.06312056182701127,-51.536195370760666,-64.34229796185056,0.7449383174052999,8,8,6,10,9,8,10,11,10,12,12,12,67
LinearRegression(positive=True),0.9147762896685293,67.43675536853218,0.029324593391940348,39.30476143620302,50.02438802221212,0.9185359512225921,0.7207387986041548,-83.18106604595891,0.07329550375162733,-50.33973528702156,-64.32119982696454,0.738346359766495,10,10,8,11,10,11,12,12,12,11,11,13,71
Ridge(solver='sag'),0.9100414632420588,69.28474757097197,0.03651651601786102,49.73045440958663,54.80408537483435,0.9132460557983361,0.7210595754222701,-83.64527693901493,0.06686728370348663,-56.57402182065691,-66.98449372494413,0.755327483384781,11,11,10,12,12,12,11,13,11,13,13,11,72
