,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=500, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8823037072394543,61.3673058700003,0.02032314450421333,33.13653564453125,47.318413153754335,0.8850712043541071,0.9535504585747416,-45.19669331288702,0.0157576363146863,-23.459686737060547,-33.01737111990792,0.9567700971003225,3,3,2,1,3,3,1,0,0,0,0,0,1
"ExtraTreesRegressor(max_depth=10, n_estimators=61, n_jobs=-2)",0.9118410533149517,53.11153605873284,0.016636574636657655,37.41612021857918,41.713876615491365,0.9155051466347218,0.9563998858800871,-47.91959473984865,0.01656837153424204,-23.593896588384286,-33.73108847252136,0.9560099475071716,0,0,0,2,0,0,0,2,1,1,1,2,7
<catboost.core.CatBoostRegressor object at 0x0000011ECE13E9D0>,0.9034000632118396,55.59606919749794,0.02209023609169512,40.24829578697995,44.36251787552068,0.9044341273925369,0.950547464127536,-46.76527147749768,0.024587252334286786,-25.840482624147807,-34.398422837226995,0.9560177821766548,1,1,4,5,1,1,2,1,4,2,2,1,12
"LGBMRegressor(learning_rate=0.11, max_depth=19, n_estimators=350, num_leaves=8)",0.8475011361832444,69.85362842181094,0.03239403891137531,51.85475128318643,54.408569337136974,0.848694100819765,0.9406048554113001,-53.81059118630299,0.02550070144863109,-27.585761108658126,-38.76568234676189,0.9439436223524744,7,7,6,13,7,7,3,3,5,4,3,3,21
"GradientBoostingRegressor(learning_rate=0.07, max_depth=7, n_estimators=200,
                          subsample=0.9)",0.8137003614101079,77.20788786895841,0.04117377946262491,39.366844171705964,55.37333722651431,0.8159849918500188,0.9309321210105347,-56.41689793058932,0.021678077939693223,-28.088187596873023,-39.49415870590152,0.9386678604829275,12,12,8,4,8,12,5,4,2,5,4,4,24
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.8677574070594181,65.04910771956146,0.02584954384120904,43.19999999999999,51.721244444444444,0.8697746003656427,0.9334382794109887,-57.88968506161813,0.02445760078062312,-26.15499999999999,-39.936326666666666,0.9375626230491445,5,5,5,7,5,5,4,5,3,3,5,5,25
"AdaBoostRegressor(learning_rate=0.1, n_estimators=80)",0.8688241939790182,64.78620432889376,0.020498399682144213,38.714285714285666,50.10553729016877,0.8739997448735035,0.9160508588215649,-65.91004990345681,0.0361104397336683,-33.1895781733988,-46.611360095456604,0.9128336787171755,4,4,3,3,4,4,6,8,7,6,7,7,41
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 9), max_iter=60,
             solver='lbfgs')",0.8863727907681824,60.29715700995329,0.018544639289177416,31.64817286247512,46.21972354363104,0.8866614356046045,0.8942066167400651,-62.63979876599053,0.03673404201751529,-33.52829234457151,-43.486918634399316,0.9070165678799966,2,2,1,0,2,2,9,6,8,7,6,8,44
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.8631990116951538,66.16072918883735,0.033764573938193265,46.180000000000064,53.07854484303354,0.8635650016499801,0.9128916005512009,-64.32097891998741,0.04499582586508225,-42.16823472402599,-50.29373291439226,0.9173436590812403,6,6,7,11,6,6,7,7,9,10,9,6,48
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.7707197153560015,85.652298487029,0.04989508391311518,50.25,62.38388888888888,0.7773810511731796,0.8964204989391152,-70.61704576806693,0.03519446246063141,-35.69083333333334,-49.367067460317465,0.9022208610608231,13,13,13,12,13,13,8,10,6,8,8,9,49
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=3, kernel='poly')",0.8249372799700544,74.84322649539081,0.043691187163465546,45.530738173767986,56.315973438416385,0.8456285236455445,0.8888048610873399,-69.04208425319852,0.08974812302661404,-40.97322037497982,-52.30467921985438,0.8968117816232688,8,8,10,10,9,8,10,9,13,9,10,10,61
"Lasso(alpha=0.7000000000000001, max_iter=5000)",0.8153082669420787,76.87398487558558,0.043243285536182834,41.79033387455769,58.192467756189366,0.8313864014689165,0.8473579308007381,-78.21000979218209,0.056554005546028144,-52.45960269470116,-61.815658882738795,0.8562600636098429,11,11,9,6,12,11,11,11,10,12,13,11,68
"Ridge(alpha=0.1, solver='sag')",0.8189462244370236,76.1131083969646,0.04419015036362052,44.90570939357673,57.67255539185594,0.8358139395068462,0.84623345967096,-78.30566529396822,0.06227074790560118,-52.69560124166465,-61.62982509468172,0.8556004669012118,10,10,11,9,11,10,12,12,11,13,12,12,72
LinearRegression(positive=True),0.81931440305266,76.03567979923193,0.04547772693034535,44.354926017751666,57.51504029359971,0.8362396257422572,0.8454108657400617,-78.48145314829013,0.06581615818888094,-52.3206228803464,-61.41433076847399,0.8544566795894122,9,9,12,8,10,9,13,13,12,11,11,13,73
