,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9472550563763608,54.91165005815732,0.02185836873430717,28.1446533203125,39.78122111002604,0.9484385477424693,0.8951809845939144,-48.46149313488239,0.022446921249536816,-27.47481399536133,-35.47393211001442,0.9109456428051981,4,4,4,3,4,4,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x000002615C3DF5B0>,0.9461273992893626,55.49553579862306,0.037417261070423216,34.84663727673694,42.73478191791472,0.9464649196726559,0.887555264740423,-51.29460374334686,0.02895667700411842,-28.563074604706628,-37.0518041126434,0.8983136645758576,5,5,8,7,5,5,2,1,3,2,1,2,11
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-2)",0.9588998074733811,48.47256548748241,0.016916610982846227,20.652380952380952,33.03841269841271,0.9610510329269782,0.894014457435907,-52.46708216816223,0.02845846384232557,-27.528333333333336,-40.56736734693878,0.8953901131204935,0,0,0,0,0,0,1,2,2,1,3,3,12
"GradientBoostingRegressor(learning_rate=0.03, n_estimators=350, subsample=0.8)",0.9510649356857106,52.89129002544166,0.01900581965947722,24.233954547330114,35.793968595592055,0.9518675204015119,0.8838680219801992,-53.56494899733576,0.02699576012784886,-29.01343920679231,-38.76573514996794,0.898701094107726,3,3,3,1,1,3,3,3,1,3,2,1,13
"RandomForestRegressor(max_depth=14, n_estimators=50)",0.9519999888333073,52.38352831101692,0.018747435215533036,25.21199999999999,37.43035555555556,0.9561292084223612,0.8637626059903571,-57.11177318865507,0.03204215382649759,-32.32089999999998,-41.99881238095238,0.8697202125732201,2,2,2,2,2,1,4,4,4,5,4,5,26
AdaBoostRegressor(n_estimators=140),0.9371869782209761,59.92374141927644,0.023972207882734124,30.5,43.23428729618978,0.9373303909015773,0.7761521283803964,-65.90770479129132,0.04348433790938878,-34.34848300697434,-48.076744877320934,0.8629735773028214,7,7,5,5,6,8,9,6,5,6,6,6,38
"LGBMRegressor(learning_rate=0.09, max_depth=13, n_estimators=200, num_leaves=8)",0.9246523764552048,65.63097522211459,0.052806786904213164,47.44260411073533,53.83737101624226,0.9251971233312603,0.8149622564073298,-62.23402137889775,0.0474646265034062,-39.33952272127807,-46.834979159988144,0.8591338987873927,9,9,12,12,12,9,7,5,7,8,5,8,40
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9393623807298865,58.87692894399894,0.15370022009323223,29.219207027930906,44.17113788447162,0.9425809060354826,0.8475088892905169,-69.80123918546543,0.12086556059658246,-38.98941695855332,-50.79663029021898,0.8705331299641751,6,6,13,4,7,6,5,8,13,7,8,4,45
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.8976979800210282,76.47441834034325,0.04135213070020054,40.633333333333354,53.744444444444454,0.9019091933220444,0.7480897800851869,-80.6954736585732,0.04460447240952282,-30.60333333333333,-51.29362698412699,0.8011080117855338,13,13,11,10,11,13,10,10,6,4,9,10,49
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.934232775553385,61.31670865659134,0.04095120471430601,32.29876923076995,46.870770409713735,0.9375467496705902,0.8403945523866005,-66.69933779460095,0.05418712324611413,-42.31158302808309,-53.32645517082797,0.8616220885322663,8,8,10,6,8,7,6,7,9,10,10,7,49
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 9), max_iter=60,
             solver='lbfgs')",0.9541200059536766,51.21365297542605,0.018135706966930808,37.09414187129153,38.13137234479197,0.9543203423433668,0.8101940340616698,-73.05302921850395,0.05308848281255208,-40.636759526135016,-48.74772019572946,0.8159533216647914,1,1,1,8,3,2,8,9,8,9,7,9,50
"Lasso(alpha=0.8, max_iter=3000)",0.9224424016103339,66.58651020796714,0.030997328311461108,42.68346548433965,49.287395414372114,0.9233510094595461,0.7221905597601229,-83.980755372992,0.07525483307372857,-53.02602158015101,-64.87013246464471,0.749509066144703,10,10,6,11,9,10,11,11,10,12,11,12,67
LinearRegression(positive=True),0.9118714647686698,70.97940490067998,0.033617935289860304,39.94353250616541,50.833492676676016,0.9128045032729627,0.7193185569226992,-85.80432921326734,0.09675988146942481,-50.922784812380335,-64.88520650052776,0.7469813418087617,12,12,7,9,10,12,12,13,12,11,12,13,73
Ridge(solver='sag'),0.9135407218435873,70.30397496407465,0.039560979822933044,50.630459132809676,56.480290644900904,0.9146374832247368,0.7105763338839155,-84.41508966550796,0.07544110036398916,-57.435158306979574,-67.44167285167912,0.7593691782702574,11,11,9,13,13,11,13,12,11,13,13,11,73
