,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.969720420320646,42.228746798291745,0.022710504244890378,25.0308837890625,30.13385919744318,0.970805698679251,0.8751507549457717,-53.88074704648354,0.020453675410593997,-26.176237945556643,-37.9411936214514,0.8880446320922808,0,0,1,2,0,0,1,0,0,1,0,1,3
<catboost.core.CatBoostRegressor object at 0x00000206680814C0>,0.9689812393604391,42.74108009601208,0.02374646784008162,22.689839719870747,31.670026908156142,0.9705129024955889,0.8784114132299257,-54.6967895861484,0.023720905418920118,-29.43616902832589,-38.27053837057158,0.8889308419506727,1,1,3,1,1,1,0,1,1,2,1,0,5
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=500, subsample=0.7)",0.9673484554019555,43.851569049770205,0.023344598762352543,26.79525297803957,32.0421254519407,0.968262170681391,0.8624860807358152,-60.582194117400995,0.029918763635140462,-25.831286712691934,-41.10083008416389,0.8654760758809724,2,2,2,3,2,2,2,3,3,0,2,3,13
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-3)",0.958611013427306,49.371425690436034,0.021531326629338685,22.223809523809535,32.15688311688312,0.9594294560731766,0.8601893974301354,-59.90379882990634,0.027688267022250267,-29.687142857142852,-41.71246588693957,0.86718534757052,4,4,0,0,3,4,3,2,2,3,3,2,15
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.9505211685492586,53.981256503951954,0.028060137385229392,26.823999999999984,35.273345454545456,0.9512475120844845,0.8401549837309714,-63.42109910850642,0.030393748640969023,-32.3949,-44.37388713450292,0.8571536488560556,5,5,4,4,5,5,4,4,4,4,4,4,24
"LGBMRegressor(learning_rate=0.09, max_depth=13, n_estimators=200, num_leaves=5)",0.9640157163827896,46.0351648488954,0.02930075400044996,29.43812229283114,34.94911399132831,0.9642278858008532,0.8221791866935151,-64.6597137815971,0.03227407536447889,-34.83659962170662,-46.40152688380452,0.8428109473401939,3,3,5,6,4,3,5,5,5,6,5,5,31
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.9073409320988562,73.87155409075656,0.07748863903822556,39.543333333333294,55.54416171356422,0.9127916850640923,0.8037121800056365,-69.39048276686577,0.0486775925756508,-42.90016038690476,-50.63852253073194,0.8425860676968082,9,9,13,9,10,9,6,7,7,8,7,6,41
DecisionTreeRegressor(max_depth=5),0.9031126643032015,75.53822557262097,0.043598181818689644,35.59375,51.297595598845604,0.9057724452031735,0.777389489003203,-69.28841457783108,0.05628350493724921,-33.85856095187116,-48.35134993086595,0.7886717728795765,10,10,8,8,9,10,9,6,8,5,6,10,44
"AdaBoostRegressor(loss='exponential', n_estimators=140)",0.9312672182986512,63.62315954222525,0.0504484126180677,41.16136363636366,50.76813560139131,0.9322665318824699,0.7509653055205104,-70.32226960787699,0.04560249632309086,-43.89570028789096,-54.719049654476144,0.8300024852635259,7,7,9,10,8,7,10,8,6,9,9,7,49
"MLPRegressor(hidden_layer_sizes=(70, 7), max_iter=60, solver='lbfgs')",0.9454157104949386,56.697916888557735,0.03563920412024486,29.413543505812868,43.671473300531495,0.9461879315168834,0.7846887287101036,-79.14621544311228,0.07245322284135305,-42.16466616111647,-51.27994480105656,0.8111246005246286,6,6,6,5,6,6,8,10,10,7,8,8,51
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.9286945806910603,64.80291487872816,0.042583724849335064,32.80507513959401,45.633815472183116,0.9311155247192074,0.7868590238318144,-76.18869718335526,0.07349676303147948,-48.50817807159119,-57.01431551855169,0.8069709986324194,8,8,7,7,7,8,7,9,12,10,10,9,57
"Lasso(alpha=0.8, max_iter=3000)",0.8982999681736611,77.39159842372939,0.06728770746981418,49.031457610182315,60.920692415503964,0.8983509555497583,0.6723385618584745,-87.26497424974941,0.06786451662386446,-61.180064044091466,-68.54764370413228,0.6852048664278868,12,12,10,12,13,12,11,11,9,13,13,11,68
"Ridge(alpha=0.1, solver='sag')",0.9024525940707767,75.79510073505367,0.06851373212013608,47.77531384773374,59.66254447528572,0.9025073077288284,0.6662509373073288,-87.6772817738998,0.07308591712044944,-59.12000370308482,-68.24759751264534,0.6757286142346706,11,11,11,11,11,11,12,12,11,12,12,12,71
LinearRegression(positive=True),0.8981923849833523,77.43252188341629,0.07506958067385455,50.13972119378923,60.87854635885443,0.8982942701947779,0.6582751679452679,-87.99197867381507,0.07767758757897751,-58.32470428920359,-68.07476843832896,0.6675850982412481,13,13,12,13,12,13,13,13,13,11,11,13,74
