,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x00000206B30BCDF0>,0.9330874586988067,54.55538098434727,0.01936061751568848,24.930367710157554,40.66124126424529,0.94414673352276,0.7952817645715229,-44.478492582792796,0.020494650447667292,-25.09161607095915,-32.12703253691553,0.8248634532208301,1,1,2,1,2,1,0,0,1,1,0,1,3
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9447980891432852,49.5519655955069,0.01551295696550098,26.309814453125,36.20644421047635,0.9482024087934746,0.7517618220642375,-48.03714536377662,0.020695668433424567,-24.663382110595702,-34.76845907847086,0.8289261006665132,0,0,1,2,0,0,2,2,2,0,1,0,7
"ExtraTreesRegressor(max_depth=10, n_estimators=21, n_jobs=-3)",0.9254190105765124,57.596739760945496,0.013906983657896277,23.827777777777783,37.32827380952381,0.9256913325675393,0.7856823713209169,-48.07134608589009,0.018671141683069502,-26.568393329554056,-35.48238044131794,0.8043964729046824,2,2,0,0,1,4,1,3,0,2,3,2,11
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=350,
                          subsample=0.6)",0.9216721938483688,59.025790511273215,0.020161450687890797,36.975807960360925,44.65889390089618,0.9268303138625249,0.7492636576317098,-47.82294181237591,0.021275709563834625,-27.170712039253623,-35.184753129895974,0.7805004605734629,3,3,4,11,4,3,4,1,3,3,2,4,17
"RandomForestRegressor(max_depth=26, n_estimators=200)",0.9027881040523523,65.75723409263719,0.02051236069014835,29.77400000000003,48.87458333333332,0.9048798399181638,0.7498665292501557,-58.8246114135593,0.031055611742784515,-31.996249999999996,-42.61492083333333,0.7805865127623285,6,6,5,6,7,6,3,4,4,4,4,3,22
AdaBoostRegressor(),0.90044451522161,66.54515278137788,0.019578974307011842,39.03703703703707,52.486249589196454,0.903595597882386,0.5697189821735044,-58.90555220240517,0.0330790754860059,-44.703848927130664,-46.822481021496124,0.7672147242303673,7,7,3,12,8,7,8,5,5,7,6,6,37
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=650, num_leaves=5)",0.9187638168855715,60.11164123148346,0.023732142951297948,28.374563166168883,45.79965806028338,0.9295024011420576,0.617512304568809,-60.037529897010884,0.045309140590815214,-41.73417904126329,-46.67283481945816,0.6592878491738671,5,5,8,4,5,2,7,6,6,6,5,9,39
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.8992228179871317,66.95221290156985,0.020658391592044807,33.38585606338131,47.30547662106419,0.9006735890073493,0.7035264239784258,-65.13065213073726,0.04943855983601117,-45.929146086691105,-51.45651491605973,0.7645418068221498,8,8,6,7,6,8,5,8,7,9,7,7,43
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 6), max_iter=60,
             solver='lbfgs')",0.835361435676907,85.57553361756048,0.033771124711902634,29.729412859881506,54.51292157173566,0.8468994160599812,0.396231419780081,-60.066787031341306,0.1221611089137463,-45.378064292396076,-52.08734549965071,0.7769345647464594,12,12,10,5,9,9,9,7,9,8,8,5,46
"SVR(cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.9192224926103852,59.941699841343,0.02180751649108944,27.180399411840796,44.469844722581676,0.9192845846146838,0.6199536606878199,-71.78003838555064,0.17422299037366504,-49.128455640780814,-55.221731574717765,0.6875733614899697,4,4,7,3,3,5,6,9,12,10,10,8,55
"DecisionTreeRegressor(max_depth=5, min_samples_split=5)",0.8317178921222854,86.51726906848785,0.03318288263957414,55.916666666666686,67.32856040564373,0.833677010948078,0.2776344259356633,-85.30367019343485,0.06565150288920701,-37.373524018379285,-54.5643711456672,0.38919159595504504,13,13,9,13,13,13,13,13,8,5,9,13,61
"Lasso(alpha=0.3, max_iter=8000)",0.8454801854834261,82.90408298010648,0.03667592123829637,35.87525875434187,58.81856254644746,0.8455057282528938,0.30816238802637497,-83.89091776148503,0.12977171375306457,-60.68445983285121,-66.09542408489595,0.621023791662479,9,9,12,10,12,10,11,10,10,11,12,11,65
LinearRegression(positive=True),0.843344511364402,83.47504052222557,0.03661577462128686,35.471847995991396,58.2374556332405,0.8434357479022003,0.31679317495210685,-84.19385239681085,0.13960988072046704,-60.825636837585215,-65.96375601804988,0.6163705580553314,11,11,11,8,10,12,10,12,11,12,11,12,68
"Ridge(alpha=0.1, solver='sag')",0.8449113788525291,83.05653292587073,0.036794893079930835,35.66449745821532,58.72017694059295,0.8449549214452005,0.3063331699656716,-84.02474646611832,0.19671249102832136,-61.40978257694003,-66.23859845410074,0.6231955402351252,10,10,13,9,11,11,12,11,13,13,13,10,72
