,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.942821388648603,49.68356598677666,0.013685928379206484,20.985137939453125,34.43639575195312,0.9445140824985745,0.8865840542470197,-49.051800884317444,0.01799704975344477,-27.891085205078127,-36.10084545359892,0.9108137750747867,0,0,0,0,1,0,0,0,0,1,0,0,1
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=350, subsample=0.6)",0.9233242729504908,57.5340450113944,0.0229594271771769,34.904997567591536,43.65184535159989,0.925100063979196,0.8821462547682508,-52.07070506831538,0.018760405219360676,-26.74670315585139,-37.3434126309258,0.8978579995925255,4,4,4,6,5,4,1,2,1,0,1,2,7
<catboost.core.CatBoostRegressor object at 0x0000020669536880>,0.9244440275625879,57.112392968472825,0.025937310172609473,27.117782319878273,41.549048898777095,0.9271847321454082,0.879682892181633,-52.01917744996633,0.022050658102192693,-28.78719946393378,-37.49466540122177,0.8968286859567571,3,3,5,3,4,3,2,1,2,3,2,3,13
"ExtraTreesRegressor(max_depth=25, n_estimators=61, n_jobs=-2)",0.9379170934862618,51.77045451934411,0.013947907759534982,24.573770491803316,34.064950819672134,0.938463273894808,0.8452591078398234,-56.593399459572346,0.023154604315683818,-28.078278688524584,-41.21329435872709,0.8982209669470095,1,1,1,1,0,1,3,3,3,2,3,1,15
"RandomForestRegressor(max_depth=14, n_estimators=650)",0.9190701713284823,59.10854485221124,0.020371557897188836,25.10192307692313,38.617311282051276,0.9191772540999398,0.8359850440931149,-58.94597763321071,0.025365604162923057,-34.17566923076906,-43.16672987217031,0.889293041382795,5,5,2,2,2,5,4,4,4,5,4,4,25
"LGBMRegressor(learning_rate=0.07, max_depth=19, n_estimators=500, num_leaves=8)",0.8883995274024141,69.41110755951726,0.033220119123806645,39.434038600678065,49.93933269947654,0.8909975249638831,0.8342039926666928,-61.29793696623793,0.03137544668093564,-32.29612613248708,-44.62337205792675,0.8579990558044972,6,6,7,7,7,6,5,5,6,4,5,5,30
"AdaBoostRegressor(loss='square', n_estimators=80)",0.9288229765303645,55.432679071586044,0.020777111553448847,29.254166666666663,39.05849943427366,0.9292365282332032,0.7265474351325745,-69.443671455644,0.03111721287125089,-41.05815906741837,-51.41361455046863,0.8474556618390885,2,2,3,5,3,2,12,6,5,7,6,6,42
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 7), max_iter=60,
             solver='lbfgs')",0.8806695309699111,71.77474054091603,0.029388753363968626,27.965937380160653,46.9251744609808,0.881262382194876,0.7930244454591494,-75.82024325239695,0.04132750059337903,-48.43191635954005,-51.86386535985207,0.8410128879369875,7,7,6,4,6,7,7,9,8,8,7,7,46
"DecisionTreeRegressor(max_depth=5, min_samples_split=10)",0.8376157593435585,83.72745622081938,0.04007492220824692,52.371818181818185,63.14838484848486,0.8408927073375795,0.7181720327568948,-73.61065604336503,0.037859082449190215,-40.23059523809523,-53.688655117312386,0.7856881489350108,13,13,8,13,13,10,13,7,7,6,8,10,51
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.8703556721101502,74.81225021254457,0.05596691337666537,44.27687143647785,55.706806972216775,0.8721470167040137,0.8095230186301914,-76.24176817041277,0.07948727099114032,-48.70149969839939,-58.16140839883699,0.8375547169057217,9,9,10,10,8,9,6,10,10,9,10,8,53
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.8736874605854701,73.84467621826174,0.0546683506979017,44.56700000000001,56.18065066666667,0.8758029331085704,0.7295308146153714,-75.51645923668747,0.05686479970834253,-49.71903333333334,-55.80316201895532,0.8328628117253125,8,8,9,11,9,8,11,8,9,10,9,9,56
"Lasso(alpha=0.8, max_iter=3000)",0.8392922580472613,83.29412243350511,0.06119504137207236,46.63295769759358,61.673502377252674,0.8393978306303772,0.7529603010644914,-85.57071391799181,0.07993130165731445,-54.59532175765844,-66.20977558372252,0.7677394492542404,11,11,13,12,12,12,8,11,11,13,13,11,67
LinearRegression(positive=True),0.8388275868495346,83.41445404300968,0.060429389837480814,40.03096581984346,60.72743888863305,0.8391130466686363,0.7489537847443185,-86.29212119371935,0.11994886913493957,-51.34516484882188,-65.7491725921201,0.7629831626869605,12,12,11,8,10,13,10,13,12,11,11,13,70
"Ridge(alpha=0.1, solver='saga')",0.8397383205581097,83.17844598154532,0.0607093014837751,43.03855398636972,60.95735966843733,0.8400181307816781,0.7516631188820745,-85.96782121737147,0.13749569548256074,-53.33438576082959,-66.00194463676876,0.7657024130545329,10,10,12,9,11,11,9,12,13,12,12,12,70
