,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9502585633922153,50.23889290165529,0.016062252730472806,22.91754150390625,36.560450846354165,0.9551320606759044,0.8895711154354498,-46.51094187566995,0.015574569663562394,-24.203034820556642,-33.80781212216331,0.9124543084189559,1,1,2,4,2,1,2,0,0,0,0,0,2
"ExtraTreesRegressor(max_depth=25, n_estimators=81, n_jobs=-2)",0.9497269173459469,50.506660792073,0.01541023472821989,18.586419753086375,33.19201646090532,0.9549586073223743,0.8969339809916856,-47.996672816412726,0.019680643015982102,-27.263271604938268,-34.11673486184598,0.9064260042259562,2,2,1,0,0,2,0,2,1,2,2,1,8
<catboost.core.CatBoostRegressor object at 0x000001E9C3399F70>,0.9377918363822644,56.182956460404995,0.027637361631307943,22.293740848791003,41.478388572220204,0.9446984383819197,0.884668428850628,-46.69077143290455,0.021002782026936933,-25.178555156801103,-34.04875853528832,0.8954011418806329,4,4,5,1,4,4,3,1,3,1,1,3,12
"GradientBoostingRegressor(learning_rate=0.01, max_depth=5, n_estimators=650,
                          subsample=0.7)",0.954184928960764,48.215322998293736,0.014302296980633726,22.4675308058944,33.648098216627965,0.9606576069510929,0.8951153918022898,-50.6857741810852,0.020151109696069848,-28.142882833327143,-36.11787727046291,0.8994772851600515,0,0,0,2,1,0,1,3,2,3,3,2,14
"RandomForestRegressor(max_depth=18, n_estimators=500)",0.9435519658281698,53.51866965004935,0.016820407660115298,22.48199999999997,37.233271111111144,0.9482251992648782,0.8682202507382295,-55.446252800863434,0.026141585569559814,-29.787220000000026,-38.868641619047615,0.8851438839138315,3,3,3,3,3,3,4,4,4,4,4,4,24
"AdaBoostRegressor(loss='square', n_estimators=80)",0.9306976719865161,59.300015952838294,0.02610040762870584,30.741935483870975,44.0414905681449,0.9384545182636129,0.7998962223888324,-60.82882059115164,0.02903942452628029,-32.43363392380634,-41.468909769008285,0.8673366235907215,5,5,4,7,5,5,8,6,5,5,5,6,35
"LGBMRegressor(learning_rate=0.09, max_depth=19, n_estimators=200, num_leaves=8)",0.9209110924164072,63.348842914179485,0.029979289932330837,27.675371626333884,44.64224976797402,0.9316398265722082,0.8275659635573305,-59.92903276768359,0.03347545347076534,-34.223470787891735,-43.514248547415264,0.8694605173903153,7,7,6,5,6,7,6,5,7,6,6,5,35
"MLPRegressor(hidden_layer_sizes=(50, 8), max_iter=60, solver='lbfgs')",0.8813698860590793,77.58510855004957,0.04107401056445258,31.073297805506854,50.357524804076355,0.8851539465236079,0.7893867834010876,-63.01881583017051,0.04546084835705425,-40.66309946407858,-46.76565021686089,0.8355364066697037,9,9,8,8,9,9,9,7,8,8,7,9,48
DecisionTreeRegressor(max_depth=20),0.8511500633600597,86.90709343252074,0.044191895274963706,41.0,61.757777777777775,0.8850046425539174,0.7354310763364273,-64.09359261490742,0.030695112431082104,-35.505,-47.49385714285715,0.8183335847972136,13,13,9,11,13,10,10,8,6,7,8,10,49
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.9270854193581081,60.82583639899217,0.04100001926010731,40.14443589743604,48.521461397368064,0.93436851748088,0.8350087519224759,-64.97498329387459,0.0491056684898521,-44.06621696581196,-51.36126094091096,0.8668542718772925,6,6,7,10,8,6,5,9,9,10,9,7,49
"SVR(C=1.6, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.9085107742997929,68.13431191424839,0.05818676655865091,29.65346629810108,48.42689575769,0.914322836025363,0.8260823164605047,-69.53989657551247,0.0836318030831374,-42.92154645797895,-52.206475584587,0.8590390768745267,8,8,10,6,7,8,7,10,13,9,10,8,57
"Lasso(alpha=0.8, max_iter=3000)",0.8733517652202367,80.16420109689413,0.06861286554687095,42.97820307345762,61.271911344415415,0.8749186533157172,0.7190020818211922,-80.57480170940735,0.06312365837329693,-51.23227603713533,-63.77522558994256,0.7360133257645456,10,10,11,13,12,11,11,11,10,11,12,11,66
"Ridge(alpha=0.1, solver='saga')",0.8717471107893487,80.67044953497081,0.07367627379341084,41.0729158478747,60.89185082031084,0.8737311615251352,0.7171095880348842,-80.94781177291716,0.0745583152392815,-52.915701773428154,-63.87118467576765,0.7338950915308827,12,12,12,12,11,12,12,12,11,13,13,12,73
LinearRegression(positive=True),0.8717586094914227,80.66683313980236,0.07622042286607202,39.949442372527756,60.44501396596953,0.8737290524011655,0.7135985558504839,-81.14999639789148,0.07874956321169459,-52.35682053895916,-63.759320182142076,0.7299829128114043,11,11,13,9,10,13,13,13,12,12,11,13,74
