,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001E9B0D04400>,0.9192285148543029,63.933019173771015,0.03512407876166757,28.823858184436574,42.335403036848476,0.9245840880181385,0.9018715575827153,-47.52602495216098,0.019947687226481107,-24.006205772054425,-33.59276101557844,0.9055395225623574,4,4,6,5,5,4,0,0,1,1,0,0,2
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9140730467111362,65.94181346932876,0.025252767509766297,23.54351806640625,42.10133388943142,0.9170850852626409,0.8799105117326043,-53.679587311764266,0.018744102271457216,-24.873206329345702,-36.45574795677548,0.8856133947665725,5,5,4,3,4,5,2,1,0,2,1,2,8
"ExtraTreesRegressor(max_depth=10, n_estimators=21, n_jobs=-3)",0.9312132771550579,58.99952150563098,0.018922152429241872,20.600000000000023,36.76675485008819,0.9334296549098691,0.8784769077986463,-59.52822280223006,0.02743462335543499,-23.605481859410425,-39.084082669786085,0.8925508523240842,1,1,1,1,1,2,3,4,4,0,3,1,15
"GradientBoostingRegressor(learning_rate=0.11, n_estimators=650, subsample=0.7)",0.9308530859282901,59.15379083406,0.02161347025948445,17.497651655887267,37.04173457521554,0.9353680434217511,0.8957841013539101,-56.90250860828506,0.024775833974531043,-30.64375455073489,-38.03183120591315,0.872648400117096,2,2,2,0,2,1,1,2,3,4,2,4,16
"RandomForestRegressor(max_depth=10, n_estimators=50)",0.9260534526596366,61.172345169254164,0.022517472996337398,25.33000000000007,39.047542857142865,0.930167481227035,0.8734754787028669,-58.519307441432495,0.021409575799255336,-26.610391269841262,-40.134514084360084,0.876567653485048,3,3,3,4,3,3,4,3,2,3,4,3,19
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9478648770449515,51.3643008368679,0.016111750084478307,22.272727272727252,35.29734433565937,0.9490245934668073,0.8505102715150317,-63.333603046987676,0.028866111871439733,-34.62715997881506,-46.49416653151523,0.8579355768928009,0,0,0,2,0,0,5,6,5,7,6,6,35
"LGBMRegressor(learning_rate=0.05, max_depth=19, n_estimators=350, num_leaves=5)",0.8601213198238096,84.13407858713178,0.05844986343333392,43.847965740826226,58.56195235137853,0.867152896319618,0.821345509508155,-62.03379178801463,0.03408860680882435,-33.65113902728216,-45.767639878117606,0.8596814813736255,10,10,8,10,9,10,7,5,7,6,5,5,35
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(50, 8), max_iter=60,
             solver='lbfgs')",0.8819039377249919,77.30612210685159,0.05647149824148168,33.606923329148685,52.63529209587865,0.8836498320552826,0.8163419356389241,-68.0855989311408,0.03480547081140931,-37.700236874726386,-48.49459851175762,0.820393512672517,9,9,7,7,7,9,8,7,8,8,8,9,48
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.8876690444844818,75.395583465074,0.06431391584027263,45.65246666666684,59.05728760846568,0.8997729149947163,0.825492115211175,-68.42457597888415,0.048481461588998964,-46.72625526190477,-53.28596272652796,0.8573573082362657,8,8,10,12,10,6,6,8,9,10,9,7,49
"DecisionTreeRegressor(max_depth=5, min_samples_split=5)",0.888342794498179,75.16913575765895,0.03332231234482556,31.66666666666663,48.736781823840644,0.8894954773206785,0.7549690673001457,-82.31673996784407,0.03231689179933424,-30.77220057720058,-46.59497269545041,0.7132248864433544,7,7,5,6,6,8,10,10,6,5,7,13,51
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.8892993867038501,74.84644775263938,0.05991259226095303,42.03998057676813,52.65030035720115,0.8968272167812175,0.8163309680654557,-73.31767244503511,0.0773564968532066,-42.72556076916389,-53.93534309868737,0.848432321827608,6,6,9,9,8,7,9,9,12,9,10,8,57
"Lasso(alpha=0.8, max_iter=3000)",0.8508226842271674,86.88555389331962,0.09549749950850964,40.1985372057178,62.928200157231814,0.8533548168517258,0.7186725993380245,-83.36275843340778,0.06485365120233612,-56.03188793710122,-64.56264168928283,0.7378422634147979,11,11,11,8,11,11,11,11,10,13,12,10,67
LinearRegression(),0.835655470795864,91.19558334161813,0.15804491174619387,45.06831315298223,65.55076902330744,0.8393217771265274,0.7089569045495542,-84.07664517649734,0.08584595837550467,-51.20768305124263,-63.89969492794656,0.7253623701708368,13,13,13,11,13,13,13,12,13,11,11,12,72
"Ridge(alpha=0.1, solver='sag')",0.8432024339183215,89.07705255929181,0.11709861677560966,50.78305548330195,64.26109482570102,0.8463126742068559,0.7144011555765513,-84.10068178596464,0.07611927800508407,-53.864419828894746,-64.57298905110568,0.7326390516204777,12,12,12,13,12,12,12,13,11,12,13,11,72
