,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=15, n_estimators=41, n_jobs=-4)",0.9543535029171489,46.87391277559719,0.01619728595622131,22.95243902439023,32.21161717921529,0.954409028873374,0.9572365619622684,-36.97420603682022,0.009545536201093722,-20.68453658536585,-26.15510531358884,0.9629500044839645,3,3,2,3,2,3,0,0,0,0,0,0,0
"GradientBoostingRegressor(learning_rate=0.11, max_depth=9, n_estimators=50,
                          subsample=0.6)",0.9653010126903118,40.868234804399194,0.012458597011097632,20.5982697879125,28.08838947782997,0.9653024707448934,0.9550645284458096,-39.85359385350031,0.010865766640543291,-21.72797481895742,-29.018931958970008,0.9617352929534227,0,0,1,1,0,0,1,2,1,1,1,1,7
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9597773114023017,44.00104878509375,0.011537039353380678,20.885101318359375,30.86748318879501,0.960350375950991,0.9521019849083195,-39.5502034335645,0.011206492535182034,-26.72581069946289,-30.283550139363605,0.9561636561496449,1,1,0,2,1,1,2,1,2,4,2,2,13
<catboost.core.CatBoostRegressor object at 0x000001D5D5F98D30>,0.9343704993342761,56.20526889185361,0.02407656766459471,24.854154427223733,40.13084001209536,0.9345636486048263,0.9505939743342197,-41.04205426960663,0.014558652095725367,-27.827423865895888,-30.66245414486387,0.9541868082435381,8,8,8,4,7,8,3,3,4,6,3,3,22
"RandomForestRegressor(max_depth=10, min_samples_leaf=4, min_samples_split=5,
                      n_estimators=200)",0.9492195775064202,49.43967814533217,0.017258819074067917,32.207180037403106,36.871930694420215,0.9493119371467783,0.9436100873963292,-42.820337178353995,0.014799691573888859,-27.4942671556226,-32.69644333788933,0.9474996668033248,4,4,4,13,6,4,5,5,5,5,4,6,30
"LGBMRegressor(learning_rate=0.01, max_depth=7, n_estimators=650, num_leaves=5)",0.9459245735766324,51.01847304737785,0.017769940303344164,25.931616521591707,36.34558475171717,0.9459424375716126,0.9438149598840229,-42.717790560300365,0.015706256122345358,-29.51484286541005,-34.1874685508844,0.9487304631010052,5,5,5,5,5,5,4,4,6,10,6,5,35
"AdaBoostRegressor(loss='exponential', n_estimators=140)",0.955309573414305,46.38042564535844,0.016418581807943998,31.06250000000003,36.14260364438439,0.9554758956205923,0.9429409174629401,-43.426857887480615,0.014495862716022764,-29.873217833185908,-33.467317792134146,0.9488220285369975,2,2,3,12,4,2,6,6,3,12,5,4,36
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.9434766801701265,52.1604477443745,0.022284777427963136,16.950000000000003,35.855557971014484,0.9434783233254911,0.9390875350931172,-45.28730194528221,0.025811380602428057,-28.449903333333328,-35.44745283333333,0.9392987022012255,6,6,7,0,3,6,7,7,12,7,7,7,47
"MLPRegressor(hidden_layer_sizes=(70, 7), max_iter=60, solver='lbfgs')",0.9306817978088882,57.76318411769459,0.02599489138751513,30.945993494860033,43.7277486938746,0.930686352659694,0.9334979984136875,-73.06330872387657,0.022997012216788158,-24.653430165577287,-47.8849051930825,0.9348333688054675,9,9,9,11,10,9,8,13,8,2,13,8,52
"Ridge(alpha=0.01, solver='sparse_cg')",0.919372958149107,62.29710182207777,0.030791936556654895,27.474615025481853,45.26950044270962,0.919421473262472,0.9136465192200578,-52.31236655190668,0.02517167887800304,-29.064564419483634,-38.92520924270588,0.9244875519672663,11,11,11,7,12,11,10,9,9,8,9,10,55
"Lasso(alpha=0.6, max_iter=3000)",0.9261512519136512,59.62097152013111,0.028255915881431677,26.28267552334526,43.40960275617385,0.9262290234212212,0.9166934611339919,-51.32105825683723,0.025641174355690605,-29.683382418670487,-39.2511532989642,0.9284111957963104,10,10,10,6,9,10,9,8,11,11,11,9,59
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.9153432973477073,63.83489587232346,0.03304546213474707,27.576965155031772,45.249259467228015,0.9153838890676348,0.9112340945812134,-53.984310079692385,0.027558702723230716,-25.8125631678535,-38.81180031276628,0.9220589196108054,13,13,13,8,11,13,13,12,13,3,8,12,61
LinearRegression(),0.9188238374266037,62.50888301066532,0.031018907417550024,28.374344171240466,45.361102348194436,0.9188774380694237,0.9129381824585359,-52.468768857660486,0.025307746783137425,-29.15848643682698,-38.97302078745319,0.9239040877510739,12,12,12,9,13,12,11,10,10,9,10,11,61
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=4, min_samples_split=5)",0.9419888529688323,52.84248176523076,0.01808315704379668,29.21374999999999,40.350108695652175,0.9428582109229171,0.911414792454835,-53.69059381403155,0.019483068452109474,-34.54591666666667,-40.389365376984124,0.9156017308113968,7,7,6,10,8,7,12,11,7,13,12,13,68
