,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x0000020663DFEA60>,0.875989548558355,77.79062517396795,0.03775477852439977,42.52815262656162,54.16278938090516,0.8774821457653365,0.8451267710363662,-53.593892842595245,0.02541860437341044,-25.45402315139764,-36.542545099070125,0.867774148190221,0,0,0,6,0,0,0,1,2,0,0,0,3
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.7878965593337846,101.73537126247736,0.06166770733819071,31.422454833984375,62.033518798828126,0.8006006954349456,0.8284974596036403,-51.16586916805467,0.018252912997340862,-26.22179672241211,-36.96660417893354,0.8636980762361445,9,9,5,2,3,6,1,0,0,1,1,1,4
"GradientBoostingRegressor(learning_rate=0.07, max_depth=5, n_estimators=650,
                          subsample=0.7)",0.760450941431055,108.11733986894237,0.0750917909413901,29.177343812386084,62.31266403552095,0.7650129124042584,0.7994317208874616,-55.52796854522904,0.021870024393893163,-28.064354705413894,-39.28106350221587,0.8280498849645002,10,10,10,0,4,10,4,2,1,2,2,4,15
"ExtraTreesRegressor(max_depth=10, n_estimators=81, n_jobs=-5)",0.8235309509209386,92.79666965161812,0.050264153127622294,29.384966807883472,56.22888288254955,0.8276451503768427,0.8121288965909541,-57.93300722720949,0.025768618515537148,-28.67198462579944,-40.06791083748655,0.8459803064264788,5,5,2,1,1,5,2,3,3,3,3,2,16
"RandomForestRegressor(max_depth=18, min_samples_split=5, n_estimators=50)",0.7542142285620336,109.51572599019546,0.08007906283617856,34.17285952380952,69.35572273504273,0.7604455131025658,0.8093902245534703,-62.06061076541212,0.029066875263226027,-31.195135360750395,-45.65741949253565,0.8329117640246964,11,11,11,3,8,11,3,4,5,4,4,3,23
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=350, num_leaves=5)",0.8389851698073079,88.64026723309702,0.05101456070562136,45.47674511488475,61.660550376085624,0.8430813953858768,0.7928798346707299,-64.77860391220642,0.036421168687027695,-33.8229311003447,-46.48571507786013,0.8149741512720243,2,2,3,9,2,2,5,5,6,5,5,7,33
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.741225425474477,112.37220922254556,0.09051703213078008,37.666666666666686,70.19233333333332,0.7459190811223119,0.7256114007299372,-72.54507537484366,0.028617915391010208,-37.83125,-48.859632352941176,0.7710362267976953,12,12,12,4,9,12,9,8,4,6,6,9,42
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(60, 7), max_iter=60, solver='lbfgs')",0.8285366916015959,91.47106110650525,0.044437645260338866,49.2216252332517,68.05681066907914,0.8287644925846247,0.736431515311339,-67.71165881345061,0.11190737485803999,-37.96460898227848,-54.388139678316975,0.8279462319088529,4,4,1,12,6,4,8,6,11,7,7,5,44
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.8298775249145423,91.11270991411752,0.06253978029694052,60.88791538461544,69.3008733789544,0.8319185945071209,0.777078802680718,-71.82765940182257,0.05523722078441006,-45.72095645576637,-55.031638871404326,0.8121065440965399,3,3,6,13,7,3,7,7,8,9,8,8,47
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.8493923727731266,85.72778460146134,0.06033148493561192,47.60342992800179,64.20416575054077,0.8514164731995258,0.7900267702473182,-74.48271609801536,0.15021173156724843,-49.64393666574697,-55.90105300023676,0.8202160968925314,1,1,4,10,5,1,6,9,13,10,9,6,53
"AdaBoostRegressor(learning_rate=0.01, loss='exponential')",0.7199509143007701,116.90018463163518,0.09238351398003189,41.71218944099378,74.54347489300997,0.7285885712468064,0.6815657379693529,-75.63474382832952,0.04495863634633547,-43.88141471764639,-56.0570033158243,0.750185039215049,13,13,13,5,13,13,11,10,7,8,10,10,56
"Lasso(alpha=0.5, max_iter=7000)",0.7966016622430294,99.6257989434063,0.06404070017930025,42.53680991666343,71.89364346285865,0.7998057650747906,0.6838883288414523,-82.75380773803427,0.10713591661075247,-55.877616612829094,-63.19913131606015,0.6951305434860593,7,7,8,7,12,8,10,11,10,13,12,11,67
LinearRegression(),0.7908668583363762,101.02050805050904,0.06755860407259717,47.8848604335526,71.75810597975259,0.7934186937586921,0.6670600828604176,-83.74469817408904,0.09613911482533155,-52.29150348323272,-63.04462578561663,0.6785080104963493,8,8,9,11,11,9,13,13,9,11,11,13,70
"Ridge(alpha=0.1, solver='sag')",0.7967921645948691,99.57913338260873,0.0633155235543341,44.89199877371229,71.66488708717623,0.7998798391719474,0.6762445127164757,-83.26506913512873,0.12410278209451446,-55.0014126746086,-63.32375441266347,0.6874506780186209,6,6,7,8,10,7,12,12,12,12,13,12,73
