,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"GradientBoostingRegressor(learning_rate=0.09, max_depth=9, n_estimators=350,
                          subsample=0.6)",0.9618484348411914,43.676353333087384,0.0111039089319985,30.18180611673094,33.689506871751895,0.9621888548919593,0.8747482178652431,-46.6629181364777,0.019434955739561246,-25.783335369723194,-34.6190140593374,0.9099507883436875,0,0,0,3,1,0,1,0,2,2,0,0,5
"ExtraTreesRegressor(max_depth=10, n_estimators=61, n_jobs=-3)",0.9470519842013602,51.45351349419752,0.014431721367571265,22.795423497267734,36.78900517174081,0.9472066220297853,0.874727890248123,-49.98262431025745,0.01934319886974458,-25.483814130769055,-34.810380341925324,0.8944591300477424,3,3,2,2,3,3,2,2,1,0,1,1,7
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9569398513869671,46.40106548173977,0.014881079490274026,22.11249542236328,32.57975143432617,0.9574053250801242,0.8835138518591069,-48.138642483221076,0.01762964723908631,-26.970890502929688,-35.495161260248544,0.8931043983115288,1,1,3,1,0,1,0,1,0,3,2,2,8
<catboost.core.CatBoostRegressor object at 0x000002530A660820>,0.9295070612993707,59.36944633590838,0.033668516195546457,32.05961584659099,45.98766971737031,0.9315605018539224,0.8372482367461233,-50.8237634876111,0.0225242673193413,-25.686615300491383,-36.1687610100807,0.8618061607589868,5,5,7,5,5,5,4,3,3,1,3,4,18
"RandomForestRegressor(max_depth=14, min_samples_split=5, n_estimators=50)",0.9399194911928522,54.809645346848406,0.016324020008658315,30.465768686868643,41.242114071067775,0.9404809728849415,0.8384615639069551,-60.42382139534456,0.028572688984611315,-30.58804246031744,-39.53799781078811,0.8658591374119776,4,4,4,4,4,4,3,5,5,4,4,3,24
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9498198078638461,50.09061350040297,0.012460468978780725,19.242521367521363,35.615032433414044,0.9501568378628675,0.8232589080290058,-57.94657526242522,0.02814041371110737,-31.696086484150577,-40.398395924369446,0.8336883006231675,2,2,1,0,2,2,5,4,4,6,5,6,30
"LGBMRegressor(learning_rate=0.11, max_depth=19, n_estimators=200, num_leaves=5)",0.9284732811851044,59.80318887049627,0.03169659312693083,40.531155187053855,48.685459054683484,0.9309749381299599,0.7261453338895972,-61.384723178452916,0.033541981406572545,-34.757256834525656,-46.05385595865461,0.80188173181053,6,6,6,8,7,6,9,7,6,7,6,8,43
"MLPRegressor(hidden_layer_sizes=(60, 9), max_iter=60, solver='lbfgs')",0.8731387366888135,79.64430134181099,0.042420255588796016,41.07300294253008,57.390366516160576,0.8783606751368378,0.7501802164405479,-60.448850752259915,0.07082203596544527,-41.93463574741596,-46.365241992956925,0.8119507663780048,11,11,9,9,10,10,8,6,10,8,7,7,46
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.8920699331556923,73.46177437525587,0.05044714581743655,46.222999999999985,57.294495000000005,0.8921498228834078,0.7888951167645041,-68.10770464611394,0.06054601512719402,-60.61846666666664,-57.25711148684648,0.8344069992267767,9,9,13,11,9,9,6,8,8,13,10,5,50
"SVR(cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9256325749375881,60.97917763844371,0.02964700272151378,34.703020388701134,46.50927965548734,0.9273984602668335,0.7570930815340031,-69.43448425733068,0.10277164140862166,-44.98172672846786,-52.46755814139016,0.8007082492309949,7,7,5,6,6,7,7,9,12,9,8,9,54
"DecisionTreeRegressor(max_depth=5, min_samples_leaf=4)",0.9050822849670872,68.89121247995725,0.034701883311452485,38.5,53.066726190476196,0.9055541104272758,0.6026118032178315,-81.5043197710887,0.04702975323076423,-31.5125,-53.41336851762401,0.6929309502591356,8,8,8,7,8,8,13,13,7,5,9,13,60
"Lasso(alpha=0.8, max_iter=3000)",0.870504169425128,80.46705069234598,0.04657926620185766,42.64578646836594,61.05835746114347,0.8738909507895449,0.7194681868338231,-77.3445574389262,0.0708161611158905,-53.026138945143785,-61.099016061316696,0.7505708135075733,13,13,12,10,13,13,10,10,9,11,11,10,61
"Ridge(alpha=0.1, solver='saga')",0.8731219682587894,79.64956483095752,0.04581946600333758,47.513560722227,60.316577013647496,0.8769569813450663,0.7100010416459813,-78.20336150209666,0.0917636082385572,-53.45287276607287,-62.01667315765538,0.7442090512943483,12,12,11,13,12,12,11,11,11,12,13,11,69
LinearRegression(positive=True),0.8740101756509355,79.37028251773842,0.04506404044665019,46.44126335800718,59.58644272531436,0.8778098232663135,0.7059458395948772,-78.32675178454487,0.10344267115244209,-52.32030635096377,-61.853494039244936,0.7413706218672538,10,10,10,12,11,11,12,12,13,10,12,12,71
