,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9499932687874055,55.227897121644034,0.027623488830507515,29.689849853515625,40.34222596039643,0.9501670860227872,0.8661569740560384,-60.076931852725735,0.031028241192940273,-22.205667724609377,-38.36567941665649,0.8810806661170588,1,1,1,3,1,1,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x000002152C2937C0>,0.9375782718856883,61.7038364957418,0.08502232240183073,30.933593129669248,46.662166187860166,0.9394891397863869,0.8467586365212905,-64.71520708471037,0.04415754338740105,-26.197018138233126,-42.62061886336984,0.864384291688336,3,3,13,5,6,2,1,1,4,2,1,1,10
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=500,
                          subsample=0.7)",0.9545753125011641,52.636893190071966,0.02342368729244235,27.647012708876247,38.21912013108711,0.95516430206932,0.8346945267421051,-66.67605500292832,0.043965279024063816,-26.006129244946266,-43.441670824891446,0.8491773269194287,0,0,0,0,0,0,3,2,3,1,3,2,14
"ExtraTreesRegressor(max_depth=20, n_estimators=61, n_jobs=-5)",0.932618750624065,64.10823250986098,0.03335114016131316,28.934426229508176,42.467833407177665,0.9337523493059993,0.8321101381360817,-67.57232734344282,0.04042693773725252,-27.01281147540983,-42.835781147540985,0.8469223382378275,5,5,4,2,2,5,4,4,2,3,2,4,19
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=650, num_leaves=8)",0.9353519755328239,62.79454280247826,0.041584865069701576,29.733104580319804,43.98963905061504,0.9355177112635036,0.8377618174195354,-66.987696113115,0.04558459089692255,-27.64822336929698,-44.428908441681116,0.8477022343216317,4,4,5,4,4,4,2,3,5,4,4,3,21
"DecisionTreeRegressor(max_depth=20, min_samples_leaf=4, min_samples_split=10)",0.8839560991940281,84.13088032019462,0.07188965921056822,28.507499999999993,53.54491773916774,0.884021049723587,0.8090375682979779,-69.7050185082501,0.03814259019577487,-31.466059523809527,-47.71487817460317,0.8417514431992824,9,9,12,1,7,13,6,5,1,6,6,5,29
"RandomForestRegressor(max_depth=10, n_estimators=350)",0.9376716019692665,61.65769087799005,0.029373398799094112,31.89493601216249,42.60133969123518,0.9390127656893872,0.822405611717658,-70.0543555893475,0.04807229409742723,-30.34712009270097,-46.726189944467585,0.8388595995439303,2,2,2,6,3,3,5,6,6,5,5,6,33
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9291294040328633,65.74720817850545,0.03240681614201442,33.98013513513516,46.50583125837907,0.9301251719227696,0.7676498538032405,-71.52033426335683,0.050117175125741764,-41.31419935121303,-52.79430763899491,0.7897564955732166,6,6,3,7,5,6,9,7,7,7,7,9,46
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.9248416341415251,67.70690129032049,0.04491078760613667,45.17491904761913,54.31972768983267,0.9298004593579476,0.8081619319250646,-72.42842391103535,0.06067962454185246,-42.048828135436054,-55.315297879691556,0.8275884465751503,7,7,6,8,8,7,8,8,8,8,8,8,48
"SVR(C=1.3, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.9101297393272262,74.0375901374614,0.05462306529652266,47.82198399314112,54.92951735444745,0.913992130740279,0.8087845868546324,-76.13606604562302,0.08857578001091335,-44.81084425049329,-56.5615217711402,0.8306097536213841,8,8,7,9,9,8,7,9,12,10,9,7,54
"Lasso(alpha=0.2, max_iter=4000)",0.8822514465502341,84.74655715502945,0.06640138691500082,56.16649342164666,66.04550176465705,0.8887390548256391,0.7204632523240558,-88.87196791136876,0.07507574837838905,-57.145434884986074,-68.54210451607088,0.7606000116707125,10,10,9,11,11,9,10,10,10,11,11,11,63
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(60, 5), max_iter=60,
             solver='lbfgs')",0.88112483276416,85.15101794736675,0.06141256420207263,50.40587947404873,65.00374880623875,0.8877622305144867,0.6602425034487032,-148.87169447746393,0.06681380427370615,-43.649031700641565,-67.04658607633147,0.7707764579666956,12,12,8,10,10,11,12,13,9,9,10,10,63
"Ridge(alpha=0.1, solver='sag')",0.8811818838212935,85.13058248256257,0.06729606222106087,57.14026714152004,66.30150321828357,0.8880111778860411,0.7147864418951111,-89.23991025104573,0.07974606247960542,-57.772798835361414,-69.09616852978692,0.7551385709321563,11,11,10,12,12,10,11,11,11,13,12,12,70
LinearRegression(),0.8795405483355947,85.71655628013485,0.0679415668598485,59.929052829813855,66.7987099404388,0.88695786661574,0.5913171907673188,-103.85929520965573,0.13702208321045836,-57.50970063988124,-74.49898519135066,0.6545290280738723,13,13,11,13,13,12,13,12,13,12,13,13,76
