,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9396873608212922,53.84371451420216,0.020715948771247415,24.20574188232422,38.52038803100586,0.9407310865645754,0.9401093153087826,-43.93511551985314,0.013721955277539909,-21.447469177246095,-31.44172646331787,0.9436809584519095,2,2,2,0,3,2,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x000001F0A96EE160>,0.9129243115044651,64.69627929936976,0.03625210359168857,30.234608680018056,44.94468822741735,0.913479795269991,0.9312112922733521,-47.57151748146505,0.02350654432250768,-27.480931771792417,-34.80520361964288,0.9333514997568898,5,5,6,5,5,5,1,1,2,3,1,2,10
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=650, subsample=0.6)",0.9392541651307911,54.03673485304358,0.01940710545957369,24.792201472175435,38.07225316323851,0.9398457066547182,0.9302583038434659,-50.30629837248172,0.01694319508958713,-28.448679157465335,-36.664177365320434,0.9341388078528764,3,3,0,2,2,3,2,3,1,4,3,1,14
"ExtraTreesRegressor(max_depth=10, n_estimators=21, n_jobs=-4)",0.9437438424999964,52.00150092958357,0.02055412731154696,25.449404761904788,35.37231785467811,0.9454918216256282,0.9130325787251747,-48.95550203988942,0.025232818853480533,-26.7006743521029,-35.00970003674227,0.9287433670975634,0,0,1,3,0,0,3,2,3,2,2,3,15
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.94097489018328,53.26589741590522,0.021071594650820768,24.397000000000006,37.092,0.9421241972790377,0.8904263743633714,-58.91411051532985,0.02651616957927401,-26.66255000000001,-41.657109999999996,0.8927701529446134,1,1,3,1,1,1,6,5,4,1,4,5,25
"LGBMRegressor(learning_rate=0.05, max_depth=13, n_estimators=350, num_leaves=5)",0.8876941302735768,73.47372766891836,0.04169315529671706,30.021365009176264,53.290899748721685,0.8900318552518738,0.9038715701050389,-56.31729824651226,0.03782596693496873,-37.187835791956694,-43.599223300831866,0.9061404979216755,8,8,7,4,8,8,4,4,7,6,5,4,30
"AdaBoostRegressor(loss='square', n_estimators=80)",0.9228224756085355,60.90827056887841,0.028526894518555498,38.13888888888886,45.5460873900089,0.924937987641943,0.8925047830076587,-62.27390951865298,0.0293829452383173,-38.33892599411867,-45.65701315965556,0.8891298422738231,4,4,5,9,6,4,5,6,5,7,6,6,35
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.9023456557107407,68.51357519525331,0.021920113431601423,32.0,44.91204710144927,0.9023862568179799,0.8429115445654091,-65.39335262907098,0.03388732321587301,-35.35416666666667,-48.11879861111111,0.8698869936646002,6,6,4,6,4,6,10,8,6,5,7,9,45
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(40, 7), max_iter=60,
             solver='lbfgs')",0.8592980777562633,82.23957585841443,0.06144237640948824,44.119660131346905,61.01173536969602,0.8595764808167901,0.8477848125077705,-62.59589605682157,0.052596950236044916,-44.09979229207909,-49.51715477173388,0.8888054936743769,10,10,11,10,10,10,8,7,9,10,8,7,49
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.8870453664345983,73.68564203965312,0.047352822750429006,35.715374999999995,51.17030389924084,0.8875217412624306,0.8526239271118217,-69.32941338565881,0.05248346816715494,-42.146825882936504,-53.70900759163809,0.8716416203550945,9,9,8,8,7,9,7,9,8,8,10,8,50
"SVR(C=1.6, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.8904906872313526,72.55316679411278,0.048983275819019,33.06807243627915,53.819110059750756,0.8905356416256459,0.8449880402113827,-70.10611073382002,0.13139782985548787,-43.0068042542943,-52.59737251960005,0.8684438748710847,7,7,9,7,9,7,9,10,12,9,9,10,59
"Lasso(alpha=0.1, max_iter=4000)",0.8376686050112329,88.33485629335505,0.06123533135547244,49.39710563161603,67.01689815264027,0.8399094070898099,0.7810737527454413,-82.59241256519317,0.09188307371817024,-53.02044908129976,-65.56609475017359,0.816135615564626,12,12,10,11,11,12,11,11,11,11,11,12,67
Ridge(solver='saga'),0.8465630916679259,85.88073764823388,0.06410781220417557,53.23765725749979,67.63207588539106,0.8486300691324835,0.7798491008870831,-82.71933933019112,0.07122632645417805,-59.597552906188675,-67.37804423940642,0.8178674360766351,11,11,13,13,13,11,12,12,10,13,12,11,70
LinearRegression(),0.8368863396850569,88.54744069947819,0.061502874439325235,49.93381306033734,67.17118229601655,0.8392424333132298,-1.687044769922005,-254.99953579059482,0.16092023436268635,-53.91062794258926,-92.3158109889618,-1.4882421222728195,13,13,12,12,12,13,13,13,13,12,13,13,77
