,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=500, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9311265725420208,57.765560625619436,0.02185491185943965,30.184066772460938,41.34927431189496,0.9311965280046055,0.9383267451044031,-45.57975459728071,0.016138484703551514,-24.520801544189453,-31.95630506070455,0.9405751887320477,0,0,1,4,2,0,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x0000016ED557B100>,0.9222372835816364,61.38027871113608,0.033293075125678216,31.022573112909043,42.84622539063,0.9231837566176172,0.9340328301273993,-47.51045217519992,0.025063452869968108,-25.1872452633439,-33.19476485840876,0.9363184541929195,5,5,6,6,6,5,1,2,4,1,1,2,11
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=650, subsample=0.6)",0.9236139179786618,60.834544699065525,0.026045540407524947,28.7488061637969,41.71470198139127,0.9242503286781107,0.9310291385827849,-45.97920806788256,0.019285348542981185,-26.46565934073889,-35.256623835359484,0.9391151741301675,3,3,4,2,4,3,2,1,1,3,3,1,11
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-4)",0.9250278328062179,60.26888780398271,0.031225672012864598,26.702380952380963,41.416252587991714,0.9282005678123555,0.911692064488582,-51.843838830187096,0.019810220903340434,-25.19500000000001,-34.36528174603175,0.9294913563332642,2,2,5,0,3,2,4,3,2,2,2,3,16
"RandomForestRegressor(max_depth=26, n_estimators=200)",0.9234845821075155,60.88602502707684,0.023793061347245018,29.472500000000167,41.22249999999998,0.9240978185701347,0.9133292032272357,-54.699178766858566,0.024725030509919026,-27.88724999999996,-37.94289354166666,0.9225099080954955,4,4,2,3,1,4,3,4,3,4,4,4,22
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=650, num_leaves=5)",0.9206544647614716,62.00181338911343,0.03330128932911698,35.31214141503446,47.120313816308276,0.921510749050845,0.890234086111899,-60.23488066272983,0.03758956942018568,-30.577490445703614,-41.93959181916804,0.8956102992982728,6,6,7,9,7,6,6,5,6,6,5,5,33
AdaBoostRegressor(loss='square'),0.929722420664469,58.351435108641844,0.024050462741258688,27.104040404040433,42.20891039125261,0.9299490537007055,0.8877286700708336,-61.793465240074006,0.03222109728387919,-38.57890700280834,-46.677659629259644,0.8923276318143023,1,1,3,1,5,1,7,6,5,7,7,6,38
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2, min_samples_split=5)",0.907131955715602,67.07741143183847,0.021475844298129935,30.38333333333334,41.01485507246376,0.9073208263629147,0.8554402030756743,-67.54385058930647,0.04030587608550349,-30.297499999999996,-42.95077777777779,0.8728726203357269,7,7,0,5,0,7,9,7,7,5,6,9,43
"MLPRegressor(hidden_layer_sizes=(50, 8), max_iter=60, solver='lbfgs')",0.881316005329534,75.8296798295624,0.049211314433579616,50.154436637986734,57.48963843006274,0.8837182800924788,0.8913819471449917,-68.02914148751259,0.07710030393974,-39.090787744608505,-53.1262604562866,0.8816880110987644,9,9,10,10,10,9,5,8,10,8,9,7,47
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.8696293743893918,79.47545435011368,0.04906006188801038,33.653999999999996,55.893543478260874,0.8713489564694598,0.8697634194063488,-70.26731161956317,0.05740890749135631,-43.37956547619048,-54.31980466765873,0.8688280835963734,10,10,9,8,9,10,8,10,8,10,10,10,56
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.8988076656939757,70.01916893477559,0.04837905173368549,32.701935071021865,52.11288885849267,0.8988695445360774,0.8519353988178606,-68.77007391849922,0.11689041384782381,-39.784025215873605,-50.3970721183113,0.8757167167036775,8,8,8,7,8,8,10,9,12,9,8,8,56
"Lasso(alpha=0.1, max_iter=4000)",0.8384195607924745,88.47845628778381,0.05882937432788661,51.21204713384151,67.56024656578273,0.83938917459441,0.7781977549874483,-84.09885183795888,0.08899717252609428,-52.9718430682502,-66.26761731746488,0.8160664270668299,12,12,11,11,11,12,11,11,11,11,11,11,66
Ridge(solver='sag'),0.8452231394237165,86.59566691797214,0.06275768143831248,52.94765606892916,68.49521721502796,0.8459278432725572,0.7758714890067354,-84.32499697272742,0.0729198400366692,-60.682798305674034,-68.33903470082836,0.8157252444630053,11,11,13,13,13,11,12,12,9,13,12,12,70
LinearRegression(),0.8376368517142336,88.6924958928563,0.05907022052880296,51.96391273428557,67.68354230178204,0.838683773520214,-0.40056701360273994,-186.73699521785386,0.13468042821609516,-53.12806719409921,-84.44938109172264,-0.3231787213510122,13,13,12,12,12,13,13,13,13,12,13,13,77
