,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=15, n_estimators=41, n_jobs=-2)",0.9405438359619275,53.4965681998743,0.018130205388819178,24.98658536585367,36.02391304347826,0.9406566460142662,0.9484058934926443,-41.6911043246994,0.013271620787247362,-23.819999999999986,-27.513194732384818,0.9503762615541147,0,0,0,1,0,0,0,0,0,0,0,0,0
"GradientBoostingRegressor(learning_rate=0.03, max_depth=7, n_estimators=350,
                          subsample=0.6)",0.9297800411451649,58.13768911050592,0.021145591457391196,25.377934768671523,37.4672205731844,0.9299228504336191,0.9366496603280965,-44.652039282867854,0.01609315771218821,-24.456543413902974,-32.80545179305945,0.9379653145496191,2,2,1,3,1,2,2,1,1,1,2,2,9
<catboost.core.CatBoostRegressor object at 0x000001D5D6192340>,0.9279121282097404,58.9058710035507,0.02649930759669099,27.055905339735773,39.947523440102415,0.9280918219614636,0.9378857595938556,-44.93968924067311,0.018314405975699877,-25.43910514506947,-31.890627580082274,0.9405109681100828,3,3,5,5,4,3,1,2,4,2,1,1,11
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9304889273272943,57.843488237099805,0.022598352450149913,27.195785522460938,38.747024171248725,0.9304944549828257,0.9314584063150854,-46.55745698792683,0.01702811833037146,-27.13270797729492,-34.220804933802285,0.9347893027887981,1,1,2,7,2,1,3,3,2,3,4,3,18
"RandomForestRegressor(max_depth=14, n_estimators=50)",0.9215833617199345,61.437224819315624,0.023513029685597958,25.032900000000012,39.49069565217392,0.92246028474534,0.9293896044036316,-47.6887023683157,0.017513234786365763,-27.1822,-34.10094766666667,0.9330590963813401,4,4,3,2,3,4,4,4,3,4,3,4,22
AdaBoostRegressor(n_estimators=80),0.9170541456728766,63.1865760089389,0.026053457169561596,27.0625,43.46790518397655,0.9177291536021465,0.9254825396898191,-48.29513279208821,0.019733844964021526,-34.12716841601749,-39.0009376975733,0.9311967554050937,5,5,4,6,6,5,5,5,5,8,6,5,34
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.9158547737364313,63.64176581557097,0.031285603554192416,27.553507692307704,42.8762447837187,0.9160189201355842,0.9189225918020891,-51.35311245128482,0.027043841531669683,-32.60928126789879,-38.96305886229579,0.9246103283016872,6,6,6,8,5,6,6,6,7,7,5,6,37
"LGBMRegressor(learning_rate=0.09, max_depth=7, n_estimators=200, num_leaves=5)",0.8853046410209634,74.3019826304475,0.04007256486506996,23.893246903359113,45.33197079952438,0.8853969461941154,0.9077264987329029,-53.467953041922655,0.027546021680395553,-30.441280894065223,-39.66883993629757,0.9102301968699937,13,13,10,0,7,13,7,8,8,6,7,7,43
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9060236410349031,67.25689089658303,0.03881212163332519,26.93702594106962,47.29274271849479,0.9070559770953903,0.889532015549314,-60.35658706378375,0.0430370291196551,-30.33961022801939,-43.34118829392029,0.90658135965414,7,7,8,4,8,7,8,9,10,5,9,9,50
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(70, 9), max_iter=60, solver='lbfgs')",0.8868898350942128,73.78673568565848,0.039499051670931,32.7294205164698,52.97378590214359,0.8877760093546798,0.8811744576157728,-52.39945568137617,0.03353782400185794,-39.75262989093345,-43.11809561554047,0.9101821608432848,12,12,9,9,10,12,9,7,9,10,8,8,51
"DecisionTreeRegressor(max_depth=5, min_samples_split=5)",0.9055524182824549,67.42530212050396,0.03170461549016774,39.06714285714284,48.310450310559006,0.906206586612356,0.8769618093000984,-62.227667454871316,0.02497158541092433,-35.599722222222226,-47.168315152032065,0.8857036849811146,8,8,7,13,9,8,10,10,6,9,10,12,57
"Lasso(alpha=0.1, max_iter=4000)",0.8895757394469836,72.90540547963926,0.04330339227482845,38.539678833244466,53.3279379192052,0.8899670966070802,0.8638220123004757,-65.70980017643592,0.045623675120232916,-41.979841110255045,-49.92880524383088,0.8863646797974853,9,9,11,12,11,9,11,11,12,11,12,10,67
"Ridge(alpha=0.01, solver='sparse_cg')",0.8888395027554734,73.1480444739025,0.04373407710069078,37.70586023338831,53.58766640400067,0.889371393189879,0.8627310376497622,-65.8970543988589,0.04527176310226542,-42.37320154870296,-49.84263667599298,0.8857962061996153,10,10,12,10,13,11,12,12,11,12,11,11,69
LinearRegression(),0.8888341642452877,73.14980092921621,0.04400532539437811,37.86348338231983,53.5267618500888,0.8894213306405938,0.8521975995959344,-67.76286075218225,0.05168208580415323,-43.8825197863066,-50.64022084456689,0.860426362484149,11,11,13,11,12,10,13,13,13,13,13,13,78
