,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"RandomForestRegressor(max_depth=26, n_estimators=200)",0.9166661916931271,63.345229794757316,0.0258705348357843,32.58900000000028,46.73135389610387,0.9168874245524717,0.7543586384424985,-73.47478497767246,0.05232531126176188,-43.70293000000002,-54.18493470000002,0.7871970701605724,1,1,2,4,4,1,0,0,2,3,1,0,6
"GradientBoostingRegressor(learning_rate=0.07, max_depth=5, n_estimators=350,
                          subsample=0.6)",0.9142394409723298,64.26094427593543,0.02781717608587811,34.3411865965337,45.59764401226287,0.914475655248442,0.7251962079240957,-74.49694359814099,0.05165429800138366,-44.133310122149624,-53.88280496370284,0.7575107640873512,2,2,3,5,2,3,3,1,1,4,0,3,12
<catboost.core.CatBoostRegressor object at 0x0000028429CE12B0>,0.9311821943075523,57.56436412463377,0.024814446328874258,27.224748560927537,41.85807327179209,0.931416847798934,0.7485538401951551,-74.76272670357879,0.06027674487559318,-40.10168681424985,-54.48523252251529,0.7757972879620508,0,0,1,0,0,0,1,2,5,0,3,1,12
"ExtraTreesRegressor(max_depth=25, n_estimators=41, n_jobs=-2)",0.9119621106329627,65.10856332722207,0.023198176434730725,27.60975609756099,44.24066202090593,0.9119840680576472,0.7338750613610772,-77.04697719335444,0.0498446840892609,-47.47895121951221,-54.35113947467166,0.7490510250418361,4,4,0,1,1,5,2,4,0,5,2,4,17
"LGBMRegressor(learning_rate=0.09, max_depth=19, n_estimators=650, num_leaves=5)",0.9077682624175741,66.64130554349578,0.03435204626119114,36.27280847441733,50.28907643893422,0.9081286239090034,0.7107218696525172,-76.28626330974224,0.056726096588823854,-43.38586876056881,-56.84035726631608,0.7409092055607548,6,6,5,6,7,6,4,3,3,2,4,6,22
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9072926469728495,66.81291066801276,0.030545212152233856,31.8187255859375,48.086350232409195,0.90729867904862,0.7024496479402551,-79.05583957325007,0.05756751365875768,-41.33808624267578,-56.88324914696327,0.7371592237276469,7,7,4,3,5,7,5,5,4,1,5,7,27
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.9118560434667795,65.14777259310799,0.03975108532751626,37.98950000000002,51.31583879237644,0.9120315176006454,0.6826678716951717,-82.37465861971742,0.07408158917023414,-54.03020807142857,-65.9939042557204,0.7580825618169554,5,5,8,7,8,4,6,6,8,8,8,2,38
"AdaBoostRegressor(loss='exponential', n_estimators=140)",0.8902679104047577,72.68923964714276,0.04553473005287832,46.77125000000001,55.33060329151411,0.8902925710083193,0.6199699531776259,-87.09971268399968,0.07238230406405809,-52.21151764405215,-65.65428163349094,0.7470585349182579,10,10,9,10,10,10,9,7,7,7,7,5,42
"DecisionTreeRegressor(max_depth=25, min_samples_leaf=2, min_samples_split=5)",0.9005247133538248,69.20873335667615,0.04856468986979901,30.0,46.48002164502165,0.9010055095468664,0.5676807796251295,-87.8384329671808,0.07739155052622365,-49.23775,-61.971528846153845,0.633089589104743,9,9,13,2,3,9,11,8,10,6,6,12,53
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9058435261155023,67.33306660072678,0.036029469854478344,43.76905032247805,52.250631491084974,0.9064524599238125,0.6401132263416145,-89.5225690743803,0.14107029423995632,-59.352680793747425,-70.20375928638103,0.7328556900751141,8,8,6,9,9,8,7,9,13,12,9,8,58
Ridge(solver='sag'),0.8723613551867325,78.3960883279453,0.047331462967331324,52.5010021128071,61.95900580601764,0.8725430119560392,0.5953419368278728,-91.00172877828984,0.0750208178322311,-59.24740927019182,-70.97415881036224,0.7040727835288321,11,11,12,13,12,11,10,10,9,11,10,9,59
"MLPRegressor(hidden_layer_sizes=(70, 5), max_iter=60, solver='lbfgs')",0.9130611560443989,64.70088659004661,0.039707598438167374,38.34218209343305,50.13549436030619,0.9150207318728294,0.6300437872047094,-108.91525734337087,0.06863123453813058,-55.76625661897475,-90.75994814572445,0.6367506387307251,3,3,7,8,6,2,8,13,6,9,13,11,60
"Lasso(alpha=0.1, max_iter=4000)",0.869158955313226,79.37345828447684,0.04569028093140223,50.667243685845506,61.67481938859089,0.869200058877849,0.5481423990441423,-95.96400691064287,0.1040153663670299,-58.92918377666153,-73.29507037982975,0.6683893693511624,12,12,10,12,11,12,12,11,11,10,11,10,65
LinearRegression(),0.8680880584635804,79.6976209657764,0.04630566302805667,50.4863198127498,62.12472623452822,0.8680959858553258,0.4548213039454329,-105.93952792415922,0.13311875261000994,-59.42869755632205,-76.83138688676668,0.586814172377447,13,13,11,11,13,13,13,12,12,13,12,13,75
