,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9372138476181089,56.16013186938681,0.026635314729787432,26.96601104736328,39.196368474545686,0.9391473335595265,0.9409803957057473,-45.08942372703236,0.015952416400759024,-24.486170349121092,-32.3555583916982,0.9441597282818174,2,2,0,2,1,2,0,0,0,0,0,0,0
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=200, subsample=0.6)",0.9417150178859652,54.109624211084835,0.026686157634557492,26.360691758828636,39.389773685484485,0.9441251932330348,0.9340075029983905,-46.088122861997,0.0202995095452706,-27.11167576575579,-34.88846898851045,0.9424857173075212,0,0,1,1,2,0,1,1,2,2,2,1,9
<catboost.core.CatBoostRegressor object at 0x000001F0A8D3D5E0>,0.9122855782394805,66.37914992553527,0.04337252256515802,34.19111722928474,46.39089037441184,0.9133995692625754,0.931916813047834,-49.00596367498691,0.02581343214502063,-26.06241609421561,-35.46227328769086,0.9354206663238646,7,7,7,6,5,7,2,2,3,1,3,2,13
"ExtraTreesRegressor(max_depth=20, n_estimators=41, n_jobs=-4)",0.9408684675571238,54.50116066094431,0.026729422812209004,23.495121951219488,39.13524920466597,0.9424518301092512,0.9274814397918167,-50.03418976311932,0.02014703337950046,-27.31853658536586,-33.20643495934959,0.9331991501003845,1,1,2,0,0,1,3,3,1,3,1,3,14
"RandomForestRegressor(max_depth=18, min_samples_split=5, n_estimators=50)",0.9247466971717624,61.48355446677816,0.029623235893152845,31.39583412698417,43.38327973429951,0.9263161810676152,0.9016854835342268,-59.261583424024444,0.03370306448182463,-30.12659981457434,-41.42552080093563,0.9080772702109321,4,4,3,3,3,4,5,5,5,4,4,5,28
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=350, num_leaves=5)",0.9137061409023713,65.83944020268045,0.03833434941988375,35.44890834077722,48.631884186559454,0.9167899004741036,0.9092022957022893,-55.67016184410818,0.041648019350693004,-34.09982309291259,-42.305792818384376,0.9111497075921035,6,6,6,7,7,6,4,4,6,6,5,4,29
"AdaBoostRegressor(loss='square', n_estimators=110)",0.9154831961127222,65.15799569757753,0.037061610132563885,40.562666666666644,48.46757039572897,0.9199979213935134,0.8905371020852483,-63.70672568118137,0.031225809010940696,-38.43222685611878,-46.62987222181074,0.8930382413121196,5,5,5,9,6,5,6,6,4,8,7,6,37
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2, min_samples_split=5)",0.9308793780540919,58.92505582607691,0.029629492354665565,33.650000000000006,45.6018115942029,0.9322689159850801,0.8451017518922728,-68.3096790881763,0.044331381609153,-33.02416666666666,-44.258068055555555,0.8601345401806386,3,3,4,4,4,3,10,9,7,5,6,10,47
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(70, 7), max_iter=60, solver='lbfgs')",0.832987208806938,91.59484902066892,0.06168928887641863,46.19890219701148,67.10852119277533,0.8336860823483158,0.8768380391263044,-67.8181990148317,0.04774723329539066,-38.06139731195334,-50.57478602136018,0.868788554041684,13,13,10,10,10,13,7,8,8,7,8,9,47
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.8906396658425436,74.11841070249187,0.053975847237230236,38.15030512820505,55.08151291172595,0.8914928664352848,0.8713801974340842,-65.81693687431496,0.05065571273570559,-47.66122948717951,-52.985088964601246,0.8825726204643921,9,9,8,8,8,8,8,7,9,10,10,7,51
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.8910179562364315,73.99010745634342,0.05720541692498733,34.116357463175234,55.99512789076455,0.8910921175194364,0.8525067830169009,-69.85763060342718,0.2042951106078342,-40.3424493928885,-52.777786988839026,0.8777064368447725,8,8,9,5,9,9,9,10,12,9,9,8,57
"Lasso(alpha=0.1, max_iter=4000)",0.8415893470322201,89.20483126873509,0.06554878039817387,46.31837868180864,68.27382653809798,0.8436367731399846,0.7927683635937216,-81.98441883088745,0.09117290348280598,-53.53147769973151,-64.68011334351577,0.8196099217340114,12,12,12,11,12,12,11,11,11,12,11,12,68
Ridge(solver='sag'),0.8473382734808134,87.57119353275759,0.07030429826194069,53.44537968824065,69.40031095592353,0.8494502982639528,0.7851251359005056,-83.05755151106631,0.07283382360851362,-60.099989121809564,-67.52845094376491,0.8228222857126106,10,10,13,13,13,10,12,12,10,13,12,11,70
LinearRegression(),0.8417494294316341,89.15974675992355,0.06508273264724114,46.833109416419944,68.19730139941204,0.8438179490587654,0.7470231001898512,-88.23528478799355,0.21513621713592737,-53.343750297743114,-68.16162027687122,0.7612147298797417,11,11,11,12,11,11,13,13,13,11,13,13,76
