,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001AD989C03A0>,0.8935484934740853,67.98873608164354,0.04599339073074347,30.65531496740266,46.882480661885424,0.8986286616359613,0.9006277049129914,-50.514341267207456,0.031073295952507293,-27.88744145141883,-35.7519757410312,0.9131282112968716,4,4,7,3,4,4,0,0,2,1,0,0,3
"ExtraTreesRegressor(max_depth=10, n_estimators=21, n_jobs=-2)",0.9218919952533832,58.238319360498664,0.027501764692387912,23.76746031746032,40.27004761904764,0.9220280098509772,0.8579097133066031,-54.773382635165675,0.0304927861391081,-27.265503246753248,-40.33866348175633,0.9020415262585837,0,0,0,0,0,1,2,1,1,0,2,1,7
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9048560697026776,64.27640898920284,0.03272059604779218,29.7020263671875,46.173763529459634,0.9098307872490575,0.8626596412612034,-56.86873430675929,0.030007961198135803,-29.693429260253907,-40.76628949483235,0.8883117150580953,2,2,3,1,2,2,1,2,0,2,3,2,10
"GradientBoostingRegressor(learning_rate=0.11, max_depth=9, n_estimators=350,
                          subsample=0.7)",0.9211586476589313,58.511077268129675,0.030165985476166564,38.53485189371372,43.77062144289432,0.9251771703744212,0.830674847637192,-62.519800215231726,0.03144889295488094,-33.69002997371122,-40.028871013874365,0.8657961473004079,1,1,1,5,1,0,4,3,3,3,1,4,18
"RandomForestRegressor(max_depth=22, n_estimators=200)",0.8878136574463853,69.79608396512425,0.04460876792240943,39.762000000000114,54.3906666666667,0.8983670525998553,0.8250332886509598,-63.614400483464095,0.03679363559835527,-38.21969999999999,-46.77349944444443,0.8620967311761014,5,5,6,6,5,5,5,4,4,5,4,5,27
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=500, num_leaves=8)",0.8687835763939091,75.48404414282075,0.03403842165479974,37.793942552779384,57.48741882589179,0.8694521718075883,0.8492932148529878,-63.93069855165676,0.04354102532595982,-41.74139321280032,-49.399923318476425,0.8706666269108002,7,7,4,4,7,7,3,5,5,7,5,3,28
"AdaBoostRegressor(loss='square', n_estimators=110)",0.9016625624372423,65.34622523534696,0.0316629918768873,30.093095238095174,46.736361874437954,0.9021613639870215,0.7404452913729491,-73.91393646645056,0.044007601251233826,-35.01261764123393,-49.884690219122874,0.7766703089328503,3,3,2,2,3,3,8,7,6,4,6,9,40
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(60, 9), max_iter=60,
             solver='lbfgs')",0.8701042572267321,75.10321359845503,0.03645880147765595,41.235474898061454,56.13849867906107,0.8701049131899505,0.8122280543895088,-64.46899778322626,0.08212759262101671,-40.60440513312171,-52.208625236202806,0.8376389128403888,6,6,5,7,6,6,6,6,11,6,7,6,42
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.8560668749643807,79.05720187972503,0.06949044548004749,53.75257142857143,60.727728299319814,0.8611800812311906,0.7850730590116747,-74.83508394572328,0.06417140383187117,-50.39855093176666,-57.45410155323689,0.8187312656830725,8,8,12,10,9,8,7,8,7,10,9,8,49
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.849306454682275,80.89252408431453,0.1120434844193745,45.53096038336409,60.62547635118046,0.8515867503148971,0.734099035129334,-77.30048106366127,0.06594282738160416,-48.01947755844066,-56.359719498048584,0.8305969242377623,11,11,13,8,8,11,9,9,8,9,8,7,50
"Lasso(alpha=0.8, max_iter=3000)",0.8451118122723689,82.01064183485829,0.06180394783843025,68.73590810595093,66.00722132113017,0.8451143962553876,0.7211369929736394,-81.93030038373874,0.08043879154047566,-56.20467714056358,-65.30190681544022,0.7586072210908602,12,12,9,11,12,12,10,10,10,12,12,10,64
"DecisionTreeRegressor(max_depth=5, min_samples_split=5)",0.7800934637497667,97.71925125299583,0.06457466125712231,52.56022727272729,73.09936868686869,0.7821303642847257,0.6323365824661431,-91.38204450940134,0.07863020425298228,-43.69791666666667,-63.300804142616656,0.6981692177075048,13,13,10,9,13,13,13,13,9,8,10,13,66
LinearRegression(positive=True),0.8516338292991985,80.26542424875402,0.06489486205245269,68.94480647026992,64.74572223212635,0.851661618853286,0.7206060706494143,-81.95651618274051,0.14195024674668885,-55.65328586038642,-65.1426739229109,0.7509034314361644,10,10,11,12,10,10,11,11,13,11,11,12,69
"Ridge(alpha=0.1, solver='sag')",0.8517536892380975,80.23299585680353,0.06014427905412655,69.06229094669862,64.82796426164587,0.8517746169769753,0.7204839691179603,-81.96824488478968,0.11108188004261814,-56.68845779889241,-65.3592303135188,0.753119684688387,9,9,8,13,11,9,12,12,12,13,13,11,73
